PEP 279| draft | list itemize amap enumerate does what is says . | four syllables is a little long enum pithy less clear than enumerate too similar to enum in other languages where it has a different meaning | say | list itemize amap enumerate does what is says .
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | obsolete | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | _comment | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | pronounce | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | _pronouncement | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | pronounce | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | _pronouncement | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | pronounce | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | _pronouncement | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | pronounce | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 1| draft | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made. | While a PEP is in private discussions usually during the initial Draft phase , a Discussions To header will indicate the mailing list or URL where the PEP is being discussed. | _pronouncement | It contains a URL that should point to an email message or other web resource where the pronouncement about the PEP is made.
PEP 11| updated | We both thought that it was reasonable to stop supporting Win9x including WinME in Python 2.6. | I updated PEP 11 to reflect this. | reason | We both thought that it was reasonable to stop supporting Win9x including WinME in Python 2.6.
PEP 11| updated | We both thought that it was reasonable to stop supporting Win9x including WinME in Python 2.6. | I updated PEP 11 to reflect this. | reason | We both thought that it was reasonable to stop supporting Win9x including WinME in Python 2.6.
PEP 101| updated | Ned Deily added the comment | Larry, I updated PEP 101 to reflect I think are the steps required for this with the new website the doc upload instructions are already in PEP 101. | _comment | Ned Deily added the comment
PEP 101| updated | Ned Deily added the comment | Larry, I updated PEP 101 to reflect I think are the steps required for this with the new website the doc upload instructions are already in PEP 101. | _comment | Ned Deily added the comment
PEP 203| wrote_pep | I believe that PEP 302 is more or less up to date there is discussion of a Phase 2 rationalisation in the PEP, which hasn't been implemented, but IIRC that is mainly an internal detail and doesn't affect the user visible interface . | I'll do a quick check of the PEP against reality, but if there are mismatches, I can't offer to fix them Just was the coding wizard, I just wrote some of the blurb . | discussion | I believe that PEP 302 is more or less up to date there is discussion of a Phase 2 rationalisation in the PEP, which hasn't been implemented, but IIRC that is mainly an internal detail and doesn't affect the user visible interface .
PEP 211| draft | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons... | You'll notice that this draft is rather more developed than the average first round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus no point in asking for the wrong thing. | reason | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons...
PEP 211| draft | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons... | You'll notice that this draft is rather more developed than the average first round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus no point in asking for the wrong thing. | _reasons | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons...
PEP 214| accepted | peps bdfl pronounces this pep accepted for inclusion in python 2.0. | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | pronounce | peps bdfl pronounces this pep accepted for inclusion in python 2.0.
PEP 214| accepted | peps bdfl pronounces this pep accepted for inclusion in python 2.0. | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | pronounce | peps bdfl pronounces this pep accepted for inclusion in python 2.0.
PEP 214| accepted | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | http hg python org peps rev 010bb1fd7d45 changeset 121 010bb1fd7d45 user Barry Warsaw barry at python org date Mon Aug 21 13 36 22 2000 0000 summary BDFL pronounces this PEP accepted for inclusion in Python 2.0 | pronounce | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org
PEP 214| accepted | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | http hg python org peps rev 010bb1fd7d45 changeset 121 010bb1fd7d45 user Barry Warsaw barry at python org date Mon Aug 21 13 36 22 2000 0000 summary BDFL pronounces this PEP accepted for inclusion in Python 2.0 | pronounce | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org
PEP 214| accepted | peps bdfl pronounces this pep accepted for inclusion in python 2.0. | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | pronounce | peps bdfl pronounces this pep accepted for inclusion in python 2.0.
PEP 214| accepted | peps bdfl pronounces this pep accepted for inclusion in python 2.0. | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | pronounce | peps bdfl pronounces this pep accepted for inclusion in python 2.0.
PEP 214| accepted | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | http hg python org peps rev 010bb1fd7d45 changeset 121 010bb1fd7d45 user Barry Warsaw barry at python org date Mon Aug 21 13 36 22 2000 0000 summary BDFL pronounces this PEP accepted for inclusion in Python 2.0 | pronounce | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org
PEP 214| accepted | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org | http hg python org peps rev 010bb1fd7d45 changeset 121 010bb1fd7d45 user Barry Warsaw barry at python org date Mon Aug 21 13 36 22 2000 0000 summary BDFL pronounces this PEP accepted for inclusion in Python 2.0 | pronounce | From python checkins at python org georg brandl Subject Python checkins peps BDFL pronounces this PEP accepted for inclusion in Python 2.0 Message ID E1Q2Ucj 0000CM 8C dinsdale python org
PEP 225| draft | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons... | You'll notice that this draft is rather more developed than the average first round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus no point in asking for the wrong thing. | reason | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons...
PEP 225| draft | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons... | You'll notice that this draft is rather more developed than the average first round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus no point in asking for the wrong thing. | _reasons | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons...
PEP 226| closed | If Paul can control his urge to want to solve everything at once, I see no reason whi this one couldn't find its way into 2.1. | Now, officially the PEP deadline is closed today the schedule says 16 Dec 2000 2.1 PEPs ready for review . | reason | If Paul can control his urge to want to solve everything at once, I see no reason whi this one couldn't find its way into 2.1.
PEP 226| closed | If Paul can control his urge to want to solve everything at once, I see no reason whi this one couldn't find its way into 2.1. | Now, officially the PEP deadline is closed today the schedule says 16 Dec 2000 2.1 PEPs ready for review . | reason | If Paul can control his urge to want to solve everything at once, I see no reason whi this one couldn't find its way into 2.1.
PEP 226| closed | If Paul can control his urge to want to solve everything at once, I see no reason whi this one couldn't find its way into 2.1. | Now, officially the PEP deadline is closed today the schedule says 16 Dec 2000 2.1 PEPs ready for review . | reason | If Paul can control his urge to want to solve everything at once, I see no reason whi this one couldn't find its way into 2.1.
PEP 234| withdrawn | It is still open for discussion. | Some of the more esoteric proposals in the original version of this PEP have been withdrawn for now these may be the subject of a separate PEP in the future. | discussion | It is still open for discussion.
PEP 234| withdrawn | It is still open for discussion. | Some of the more esoteric proposals in the original version of this PEP have been withdrawn for now these may be the subject of a separate PEP in the future. | discussion | It is still open for discussion.
PEP 236| wrote_pep | If the champion merely records negative feedback without actually changing the proposal, you can come up with a counter proposal, as a separate PEP. | For example, I wrote PEP 244 to counter PEP 236. | feedback | If the champion merely records negative feedback without actually changing the proposal, you can come up with a counter proposal, as a separate PEP.
PEP 234| withdrawn | It is still open for discussion. | Some of the more esoteric proposals in the original version of this PEP have been withdrawn for now these may be the subject of a separate PEP in the future. | discussion | It is still open for discussion.
PEP 234| withdrawn | It is still open for discussion. | Some of the more esoteric proposals in the original version of this PEP have been withdrawn for now these may be the subject of a separate PEP in the future. | discussion | It is still open for discussion.
PEP 236| wrote_pep | If the champion merely records negative feedback without actually changing the proposal, you can come up with a counter proposal, as a separate PEP. | For example, I wrote PEP 244 to counter PEP 236. | feedback | If the champion merely records negative feedback without actually changing the proposal, you can come up with a counter proposal, as a separate PEP.
PEP 238| draft | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons... | You'll notice that this draft is rather more developed than the average first round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus no point in asking for the wrong thing. | reason | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons...
PEP 238| draft | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons... | You'll notice that this draft is rather more developed than the average first round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus no point in asking for the wrong thing. | _reasons | And at least this way, if it gets rejected, we'll know that it was rejected for the right reasons...
PEP 242| closed | No open issues have been raised at this time. | This PEP has been closed by the author. | open_issues | No open issues have been raised at this time.
PEP 242| closed | No open issues have been raised at this time. | This PEP has been closed by the author. | open_issues | No open issues have been raised at this time.
PEP 242| closed | No open issues have been raised at this time. | This PEP has been closed by the author. | open_issues | No open issues have been raised at this time.
PEP 242| closed | No open issues have been raised at this time. | This PEP has been closed by the author. | issues | No open issues have been raised at this time.
PEP 244| wrote_pep | If the champion merely records negative feedback without actually changing the proposal, you can come up with a counter proposal, as a separate PEP. | For example, I wrote PEP 244 to counter PEP 236. | feedback | If the champion merely records negative feedback without actually changing the proposal, you can come up with a counter proposal, as a separate PEP.
PEP 273| wrote_pep | I believe that PEP 302 is more or less up to date there is discussion of a Phase 2 rationalisation in the PEP, which hasn't been implemented, but IIRC that is mainly an internal detail and doesn't affect the user visible interface . | I'll do a quick check of the PEP against reality, but if there are mismatches, I can't offer to fix them Just was the coding wizard, I just wrote some of the blurb . | discussion | I believe that PEP 302 is more or less up to date there is discussion of a Phase 2 rationalisation in the PEP, which hasn't been implemented, but IIRC that is mainly an internal detail and doesn't affect the user visible interface .
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | obsolete | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 279| accepted | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete. | Subsequently, PEP 279 was accepted into Python 2.3. | _comment | In commenting on PEP 279's enumerate function, this PEP's author offered, I'm quite happy to have it make PEP 281 obsolete.
PEP 282| draft | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library. | This PEP is still an early draft so please forward your comments just to me directly for now. | comments | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library.
PEP 282| draft | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library. | This PEP is still an early draft so please forward your comments just to me directly for now. | _comment | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library.
PEP 282| draft | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library. | This PEP is still an early draft so please forward your comments just to me directly for now. | comments | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library.
PEP 282| draft | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library. | This PEP is still an early draft so please forward your comments just to me directly for now. | _comment | I would appreciate any comments you might have on this proposal for adding a logging system to the Python Standard Library.
PEP 286| deferred | to deal with these cases, a specialized argument type is proposed. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _argument | to deal with these cases, a specialized argument type is proposed.
PEP 286| deferred | to deal with these cases, a specialized argument type is proposed. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _argument | to deal with these cases, a specialized argument type is proposed.
PEP 286| deferred | to deal with these cases, a specialized argument type is proposed. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _argument | to deal with these cases, a specialized argument type is proposed.
PEP 286| deferred | to deal with these cases, a specialized argument type is proposed. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _argument | to deal with these cases, a specialized argument type is proposed.
PEP 286| deferred | To deal with these cases, a specialized argument type is proposed. | Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _argument | To deal with these cases, a specialized argument type is proposed.
PEP 286| deferred | To deal with these cases, a specialized argument type is proposed. | Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _argument | To deal with these cases, a specialized argument type is proposed.
PEP 289| bdfl_pronouncement_accepted | Thanks to everyone for the comments on PEP 289. | Based on the favorable feedback here and on python dev, Guido has accepted the PEP for Py2.4. | comments | Thanks to everyone for the comments on PEP 289.
PEP 289| bdfl_pronouncement_accepted | Thanks to everyone for the comments on PEP 289. | Based on the favorable feedback here and on python dev, Guido has accepted the PEP for Py2.4. | _comment | Thanks to everyone for the comments on PEP 289.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there. | Neal finally wrote the requirement into the PEP, and it was my impression that you accepted it, although you were not very happy with it. | discussion | Guido We had some discussion about this when neal wrote the pep, and I suggested to list modulefinder there.
PEP 292| accepted | pep 292 simpler string substitutions got a huge amount of discussion this past two weeks. | ignoring the syntax discussions that was decided long ago before the pep was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed. | discussion | pep 292 simpler string substitutions got a huge amount of discussion this past two weeks.
PEP 292| accepted | pep 292 simpler string substitutions got a huge amount of discussion this past two weeks. | ignoring the syntax discussions that was decided long ago before the pep was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed. | discussion | pep 292 simpler string substitutions got a huge amount of discussion this past two weeks.
PEP 292| accepted | pep 292 simpler string substitutions got a huge amount of discussion this past two weeks. | ignoring the syntax discussions that was decided long ago before the pep was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed. | discussion | pep 292 simpler string substitutions got a huge amount of discussion this past two weeks.
PEP 299| rejected | Revisiting PEP 299 The general consensus recently has been that the if name ' main ' idiom for modules that can be both support modules and main modules is both ugly and unintuitive. | PEP 299 main functions was rejected for the 2 x series due to backward compatibility concerns in particular, with modules that include the line import main . | consensus | Revisiting PEP 299 The general consensus recently has been that the if name ' main ' idiom for modules that can be both support modules and main modules is both ugly and unintuitive.
PEP 299| rejected | Revisiting PEP 299 The general consensus recently has been that the if name ' main ' idiom for modules that can be both support modules and main modules is both ugly and unintuitive. | PEP 299 main functions was rejected for the 2 x series due to backward compatibility concerns in particular, with modules that include the line import main . | consensus | Revisiting PEP 299 The general consensus recently has been that the if name ' main ' idiom for modules that can be both support modules and main modules is both ugly and unintuitive.
