"author"
\N
""
" Andy Henshaw"
" Benjamin Schollnick"
" Billy C. Earney"
" Bruce Hill"
" Chris Collis"
" Christopher Perkins"
" Craig A. Connor"
" David Goodger"
" David Hoyt"
" David W  Lambert"
" Demitry Meerovich"
" Facundo Batista"
" Gerald  Koenig"
" Gerald Koenig"
" Gerald S  Williams"
" Greg Brondo"
" Gregoire Weber"
" Gregory R Warnes"
" Harald Armin Massa"
" Hongchao  Lu"
" James Harding"
" Jason Asbahr"
" Jeffrey Pry"
" Jim J Jewett"
" Jon Peck"
" Joseph Klepach"
" Joseph Rodrigues"
" Jr. <fdrake Fred L. Drake"
" Jr. Andrew P. Lentvorski"
" Jr. Fred L. Drake"
" Khalid A.B."
" Lance Ellinghaus"
" Larry Bugbee"
" Mark  Favas"
" Martin P. McGreal"
" Matthew   Lefavor"
" Matthew I Frank"
" Michael <mchermside Chermside"
" Michael Chermside"
" Michael Schneider"
" Mike Da Silva"
" Onno Ebbinge"
" Paul <Paul.Moore Moore"
" Paul James"
" Paul Moore"
" Paul=20 Moore"
" Pinki Mallick"
" Rajashree Thorat"
" Raveendra Babu  M"
" Razvan A Lupusoru"
" Rich Salz"
" Sandeep  Mathew"
" setting the subscription to no mail. line"
" Tim Leeuw van der"
" Timothy  Delaney"
" Timothy C  Delaney"
" Timothy Delaney"
" Tony Meyer"
" Van Lindberg"
" Vijaya Kumar  B H"
" Vladimir  Marangozov"
" VP MIS Manuel Garcia"
" Wendy Watts"
" Yateen Joshi"
"%s"
"'Christian Stork'"
"Akira Kitada"
"Akira Li"
"Akradiusz Miskiewicz"
"Akshit Agarwal"
"akuchlin"
"Alain Poirier"
"Alan Cristhian Ruiz"
"Alan Gauld"
"Alan Green"
"Alan Johnson"
"Alan Kennedy"
"Alan McIntyre"
"Alastair Houghton"
"Albert Strasheim"
"Albert Zeyer"
"Alberto Bertogli"
"alberto.casado.martin"
"alc"
"Alcino Dall'Igna Jr"
"Alec Thomas"
"alejandro david weil"
"Alejandro Santos"
"Aleks Totic"
"Aleksandar Totic"
"Aleksander Piotrowski"
"Alessandro Guido"
"Alessio Giovanni Baroni"
"Alex"
"Alex A. Naanou"
"Alex A. Naanou <alex.nanou"
"Alex Clark"
"Alex Coventry"
"Alex Gaynor"
"Alex Hammel"
"Alex Holkner"
"Alex Leach"
"Alex Light"
"Alex Martelli"
"Alex Martelli <aleax"
"Alex Naanou"
"Alex Rodrigues"
"Alex Seewald"
"Alex Stewart"
"alex.gronholm"
"alex23"
"Alexander"
"Alexander Atkins"
"Alexander Belopolsky"
"Alexander Bernauer"
"Alexander D Wissner-Gross"
"Alexander Heger"
"Alexander J. Kozlovsky"
"Alexander Kozlovsky"
"Alexander Larsson"
"Alexander Michael"
"Alexander Myodov"
"Alexander Neundorf"
"Alexander S Coventry"
"Alexander Sabourenkov"
"Alexander Schremmer"
"Alexander Shigin"
"Alexander Walters"
"Alexandre Bosc"
"Alexandre Boulay"
"Alexandre Conrad"
"Alexandre Ferrieux"
"Alexandre Fiori"
"Alexandre Parenteau"
"Alexandre Passos"
"Alexandre Vassalotti"
"Alexandre Zani"
"Alexandru Mo?oi "
"Alexey Borzenkov"
"Alexey G."
"Alexey G. Shpagin"
"Alexey Kachayev"
"Alexey S"
"alexis"
"Alexis Layton"
"Alexis Lee"
"alex_nanou"
"Alfredo Solano"
"Ali Afshar"
"Ali Alkhatib"
"Ali Gholami Rudi"
"ali musa"
"Ali Sabil"
"alice"
"Alisa Pasic Robinson"
"Allan Clark"
"Allan McRae"
"Allison Randal"
"alloydflanagan"
"Almann T. Goo"
"Alon Horev"
"alonn"
"Alvin Delagon"
"Amaury Forgeot d'Arc"
"amaury.forgeotdarc"
"Amber Yust"
"Ames Andreas "
"Amici Alessandro"
"Amit Khan"
"amk"
"Anand Balachandran Pillai"
"anatoly techtonik"
"And Clover"
"Anders Hovm?ller "
"Anders J. Munch"
"Anders Qvist"
"Anders Sandvig"
"Anders Waldenborg"
"Anders Wegge Keller"
"Anderson Lizardo"
"Andi Albrecht"
"Andre Engels"
"Andre Roberge"
"Andre Stechert"
"andre.duque"
"andre.roberge"
"andrea"
"Andrea Arcangeli"
"Andrea Censi"
"Andrea Crotti"
"Andrea Griffini"
"Andreas Beyer"
"Andreas Degert"
"Andreas Gustafsson"
"Andreas Jung"
"Andreas Jung <andreas"
"Andreas Nahr"
"Andreas Nilsson"
"Andreas Raab"
"Andreas.Floeter"
"Andres Osinski"
"Andrew Akira Toulouse"
"Andrew Barnert"
"Andrew Bennetts"
"Andrew Carter"
"Andrew Chambers"
"Andrew Clover"
"andrew cooke"
"Andrew Dalke"
"Andrew Durdin"
"Andrew Edmondson"
"Andrew Eland"
"Andrew Francis"
"Andrew Gaul"
"Andrew Grigorev"
"Andrew Koenig"
"Andrew Koenig <ark"
"Andrew Kuchling"
"Andrew Kuchling <akuchlin"
"Andrew Lentvorski"
"Andrew M. Kuchling"
"Andrew M. Langmead"
"Andrew MacIntyre"
"Andrew MacIntyre <andymac"
"Andrew MacKeith"
"Andrew McGregor"
"Andrew McLean"
"Andrew McNabb"
"Andrew McNamara"
"Andrew Moffat"
"Andrew P. Lentvorski"
"Andrew P. Lentvorski <bsder"
"Andrew Pennebaker"
"Andrew Perella"
"Andrew Pinski"
"andrew rainwater"
"Andrew Svetlov"
"Andrew Toulouse"
"Andrew Walkingshaw"
"Andrey Fedorov"
"Andrey Petrov"
"Andrey Popp"
"Andrey Vlasovskikh"
"Andrey Zhmoginov"
"Andrii V. Mishkovskyi"
"andy"
"Andy Bond "
"Andy Bond <bond"
"Andy Buckley"
"Andy C"
"Andy Dustman "
"Andy Dustman <adustman"
"Andy Gimblett"
"Andy Gross"
"Andy Kish"
"Andy McKay"
"Andy Robinson"
"Andy Scott"
"Andy Teijelo"
"andy-python"
"Anh Hai Trinh"
"anikom15"
"Anna Ravenscroft"
"Annie Liu"
"anomyo2"
"Anoop Thomas Mathew"
"Anselm Kruis"
"Anthon van der Neut"
"anthony"
"Anthony Baxter "
"Anthony Baxter <anthony"
"Anthony Green"
"Anthony Kong"
"Anthony Roy"
"Anthony Scopatz"
"Anthony Tolle"
"Anthony Towns"
"Anthony Tuininga"
"ANTIGEN_MBSOPPRAPP02"
"ANTIGEN_NETSYS-NT-SERV"
"Antoine"
"Antoine Pitrou"
"Antoine solipsis"
"antoine.pitrou "
"anton"
"Antonio Beamud Montero"
"Antonio Cavallo"
"Antonio Messina"
"Antony Joseph"
"Antony Lee"
"Antti Rasinen"
"Anu Gupta DCSA"
"Anurag Chourasia"
"Anush Shetty"
"apalala"
"apocalypznow"
"apoline juliet obina"
"Apurv Anand"
"Arash Ferdowsi"
"arashf"
"Arc Riley"
"Arfrever Frehtes Taifersar Arahesis"
"arigo"
"Arimeth"
"Arkadiusz Miskiewicz"
"Armin Rigo"
"Armin Rigo <arigo"
"Armin Ronacher"
"Armin Steinhoff"
"Armin Wieser"
"Arnar Birgisson"
"Arnaud Bergeron"
"Arnaud Delobelle"
"Arnaud Delobelle arnodel"
"Arne Babenhauserheide"
"Arne Koewing"
"Arnold deVos"
"Arnon Yaari"
"Arsalan Zaidi"
"Art Rasmussen"
"artcom0!pf"
"Arthur"
"Arthur <ajsiegel"
"Artur Siekielski"
"Asif Jamadar"
"Ask Bjoern Hansen"
"Ask Solem"
"asolano"
"astrand"
"ateijelo"
"Atsuo Ishimoto"
"Atul Kshirsagar"
"Atul Varma"
"Audun Ostrem Nordal"
"Aur?lien Campeas "
"aurelien.campeas"
"aurora"
"Austin Fernandes"
"Auto-Reply Daemon for matt"
"average"
"Avi Kohn"
"Avneet Mathur"
"ayodele akingbulu"
"Áø³ª¶ó"
"b.wolowiec"
"bacchusrx"
"bala"
"Baptiste Carvello"
"Baptiste Lepilleur"
"Barbara"
"Barend erasmus"
"barnesc"
"barry"
"Barry A. Warsaw"
"Barry A. Warsaw <barry"
"Barry Scott"
"Barry Scott <barry"
"Barry Warsaw"
"Barry Warsaw <barry"
"Bart Thate"
"Bartosz Tarnowski"
"barzhomi"
"bcannon"
"Beat Bolli"
"beau"
"Behrang Dadsetan"
"Ben Cartwright"
"Ben Chelf"
"Ben Darnell"
"Ben Decker"
"Ben Finney"
"Ben Hoyt"
"Ben Laurie"
"Ben Laurie <ben"
"Ben Leslie"
"Ben North"
"Ben Rudiak-Gould"
"Ben Toews"
"Ben Walker"
"Ben Wing"
"Ben Wolfson"
"Ben.Cottrell"
"Ben.Young"
"Bengt Richter"
"Beni Cherniavksy <cben"
"Beni Cherniavsky"
"Beni Cherniavsky-Paskin"
"Benjamin"
"Benjamin C. Wiley Sittler"
"Benjamin Kaplan"
"Benjamin M. Schwartz"
"Benjamin Peterson"
"Benjamin Schwartz"
"Benji York"
"benoit"
"Benoit Chesneau"
"berker.peksag"
"Bernard Yue"
"Bernhard Herzog"
"Bernhard Herzog <bh"
"Bernie Bill"
"Bernie Innocenti"
"Berserker"
"Bertram Scharpf"
"bharat satsangi"
"Bhavani"
"bheemesh v"
"Bill Baxter"
"Bill Bumgarner"
"Bill G"
"Bill Green"
"Bill Hoffman"
"Bill Janssen"
"Bill Janssen <janssen"
"Bill Jordan"
"Bill Northcott"
"Bill Tutt"
"Bill Venners"
"Bill Winslow"
"Billy G. Allie"
"Binger David"
"biotechinfo2003"
"biotechstox23"
"Bj Raz"
"BJ?rn Lindqvist "
"Bjorn Pettersen"
"Bjorn Tillenius"
"bjourne"
"Blagoj Petrushev"
"Blake Hyde"
"Blake Ross"
"Blake Winton"
"Blockheads Oi Oi"
"Bo Thorsen"
"Bob Arnson"
"Bob Gailer"
"Bob Halley"
"Bob Ippolito"
"Bob Ippolito <bob"
"Bob Kline"
"Bob Sidebotham"
"Bobby Impollonia"
"Bobby R. Ward"
"Bohuslav Kabrda"
"Bordeaux Buffet"
"Boris Borcic"
"Boris Boutillier"
"Boris_Lipner"
"Boriz Izaguirre"
"bostjan.mejak"
"boxed"
"Boya Sun"
"Brad Clements"
"Brad Clements <bkc"
"Brad Doctor"
"Brad Knowles"
"Brad Miller"
"Bram Moolenaar"
"Brandon Hayden"
"Brandon Mintern"
"Brandon W Maister"
"Brendan Cully"
"Brendan Moloney"
"Brendan O'Connor"
"Brendan Simons"
"Brent Fulgham"
"Brent Longborough"
"Brent Shambaugh "
"Bret Taylor"
"Brett"
"Brett C"
"Brett C."
"Brett C. <bac"
"Brett Cannon"
"Brett Cannon <bac"
"Brett Hoerner"
"Brett Kelly"
"Brett Wilkins"
"brett.cannon "
"brian"
"Brian Allen Vanderburg II"
"Brian Beck"
"Brian C. Lum"
"Brian Cole"
"Brian Curtin"
"Brian de Alwis"
"Brian Dorsey"
"Brian Ellin"
"Brian Fletcher"
"Brian Granger"
"Brian Harring"
"Brian Harvey "
"Brian Harvey <bh"
"Brian Jones"
"Brian L."
"Brian Lloyd"
"Brian Nguyen"
"Brian Quinlan"
"Brian Rzycki"
"Brian Sabbey"
"Brian Slesinsky"
"Brian Sutherland"
"Brian Warner"
"Brian Wisti "
"Brian Wisti <bwisti"
"Bristow Thankachan"
"brtzsnr"
"bruce bushby"
"Bruce Christensen"
"Bruce Eckel"
"Bruce Frederiksen"
"Bruce Leban"
"Bruce Sass"
"Bruce Sherwood"
"Bruno Harbulot"
"Bryan Duarte"
"Bryan L. Fordham"
"Bryan O'Sullivan"
"Bryan Olson"
"Bryce Boe"
"bsder"
"buildbot"
"Burak Arslan"
"burt"
"Burton Radons"
"bvidinli"
"bwarsaw"
"C Anthony Risinger"
"C McL"
"C or L Smith"
"c't-Shareware-Team"
"C. Titus Brown"
"caglar"
"Caleb Hattingh"
"Calvin Austin"
"Calvin Spealman"
"CAMBO9"
"Cameron Laird"
"Cameron Simpson"
"Campbell Barton"
"Captain Senorita"
"captainjacksparrow"
"captainrobbo"
"Cara"
"Cara Curtis"
"Carel Fellinger"
"Carey Tilden"
"Carl Banks"
"Carl Friedrich Bolz"
"Carl Johnson"
"Carl M. Johnson"
"Carl Matthew Johnson"
"Carl Meyer"
"Carl Smith"
"Carl Trachte"
"Carlo Pires"
"Carlos Garcia"
"Carlos Ribeiro"
"carmstr3"
"Carsten Haese"
"Case Van Horsen"
"Case Vanhorsen"
"Casey Duncan"
"castironpi-ng"
"Catalin Iacob"
"Cathal Garvey"
"Catherine Devlin"
"cave girl"
"Cayce Ullman"
"ÇÃ¶óÀ×À¥³ª¶ó"
"cedric paille"
"Cedric Sodhi"
"Cem Karan"
"cenkalti"
"CERAMICA MEJIAS POLONIO C.B.       "
"ceronman"
"Cesare Di Mauro"
"cf.natali"
"CFK"
"Chad Austin"
"Chad Netzer"
"Chad Netzer <cnetzer"
"Chad Whitacre"
"chandru"
"Chang Walls"
"charles balkon"
"Charles Cazabon"
"Charles G Waldman"
"Charles Hartman"
"Charles Hixson"
"Charles McCreary"
"Charles Solar"
"Charles Vaughn"
"Charles Waldman"
"charlie"
"Charlie Clark"
"Chas Emerick"
"Chetan Pandya"
"Chih-Chung Chang"
"chima adams"
"chojrak11"
"chris"
"Chris and Ann Reedy"
"Chris Angelico"
"Chris AtLee"
"Chris B"
"Chris Barker"
"Chris Barker - NOAA Federal"
"Chris Bergstresser"
"Chris Cioffi"
"Chris Farwell"
"Chris Frantz"
"Chris Hagner"
"Chris Jerdonek"
"Chris Johns"
"Chris Kaynor"
"Chris King"
"Chris Lambacher"
"Chris Lasher"
"Chris Lawrence"
"Chris McDonough"
"Chris Mellon"
"Chris Monson"
"Chris or Leslie Smith"
"Chris Perkins"
"Chris Plasun"
"chris priest"
"Chris Rebert"
"Chris Reedy"
"Chris Rose"
"Chris Ryland"
"Chris S"
"Chris Smith"
"Chris Withers"
"Christian"
"Christian Bird"
"Christian Heimes"
"Christian K"
"Christian Kristukat "
"Christian Reis"
"Christian Robottom Reis"
"Christian Schubert"
"Christian Stork"
"Christian Tanzer"
"Christian Theune"
"Christian Tismer"
"Christian Tismer <tismer"
"Christian Zupancic"
"christian.doll"
"Christine C Moran"
"Christoph Becker-Freyseng"
"Christoph Groth"
"Christoph Ludwig"
"Christoph Wiedemann"
"Christophe Cavalaria"
"Christophe Schlick"
"Christopher A. Craig"
"Christopher Armstrong"
"Christopher Barker"
"christopher baus"
"Christopher Blunck"
"Christopher Cederstrom"
"Christopher D. Leary"
"Christopher King"
"Christopher Lee"
"Christopher Olah"
"Christopher Petrilli"
"Christopher Reay"
"Christopher T King"
"Christopher Taylor"
"Christopher Weimann"
"Christopher Welborn"
"Christos Georgiou"
"chrysn"
"Chuck Mason "
"Chuck Robey"
"Chui G. Tey"
"Chuq Von Rospach"
"Chuzo Okuda"
"CJ Kucera"
"claireguilbaud"
"Clarence Gardner "
"Clarence Gardner <clarence"
"Clark C . Evans"
"Clark C. Evans"
"Clark Maurer"
"Claudiu Popa"
"Clay Gerrard"
"Clay McClure"
"Clay Sweetser"
"Cliff Wells"
"Cliff Wells <logiplexsoftware"
"Clint Adams"
"Clint Hepner"
"Clinton Roy"
"CM"
"Colin H"
"Colin J. Williams"
"Colin Walters"
"Collin Winter"
"Connelly Barnes"
"Conrad Irwin"
"Constantin Berhard"
"contact"
"Contempt for Meatheads"
"cool-RR"
"Corey Sarsfield"
"Cory Benfield"
"Cory Beutler"
"Cosmin Stejerean"
"Craig Citro"
"Craig Yoshioka"
"Craig Younkins"
"Cron Daemon"
"Crutcher Dunnavant"
"Csaba Balazs"
"csebasha"
"csmail"
"CTO"
"Curt Hagenlocher"
"curtin"
"cyberGn0m"
"Cyril Brulebois "
"Cyril Lombardo"
"Cyril Robert"
"D-Man"
"Dag Moxnes"
"Dag Odenhall"
"Dag Sverre Seljebotn"
"dag.odenhall"
"Damien Diederen"
"Damien Miller"
"Damien Morton"
"Damien Morton <damien.morton"
"Dan Aloni"
"Dan Baker"
"Dan Bressler"
"Dan Buch"
"Dan Christensen"
"Dan Colish"
"Dan Eloff"
"Dan Gass"
"Dan Gindikin"
"Dan Lenski"
"Dan Mahn"
"Dan Milstein"
"Dan O'Reilly"
"Dan Schmidt "
"Dan Schmidt <dfan"
"Dan Schult"
"Dan Stromberg"
"Dan Sugalski"
"Dan Villiom Podlaski Christiansen"
"Dan Wolfe"
"Danie Roux "
"Danie Roux <droux"
"Daniel "
"Daniel 'Dang' Griffith"
"Daniel 'eikeon' Krech"
"Daniel A. Welty"
"Daniel Arbuckle"
"Daniel Berlin"
"Daniel Berlin+list.python-dev"
"Daniel Bickett"
"Daniel Bonekeeper"
"Daniel Braniss"
"Daniel da Silva"
"Daniel DELAY"
"Daniel Diniz"
"Daniel Dunbar"
"Daniel Fetchinson"
"Daniel Foerster"
"Daniel Furrer"
"Daniel G. Taylor"
"Daniel Greenfeld"
"Daniel Holth"
"Daniel Krech"
"Daniel Mahler"
"Daniel McDougall"
"daniel narf"
"Daniel Reis"
"Daniel Robinson"
"Daniel Rode"
"Daniel Shahaf"
"Daniel Silva"
"Daniel Stutzbach"
"Daniel Trstenjak"
"Daniel Urban"
"Daniel Waterworth"
"Daniel Watkins"
"Daniel Wong"
"daniel.stutzbach"
"Danilo Peixoto"
"dany"
"dariob"
"Dariusz Suchojad"
"Darrell Hurst"
"darren"
"Darren Dale"
"Darren Govoni"
"Darren McCleary"
"Darrin Thompson"
"Darryl Dixon"
"dasdasich"
"DasIch"
"Dasn"
"dato"
"Dave Abrahams"
"Dave Barry"
"Dave Brueck"
"Dave Cinege"
"Dave Cole"
"Dave Halter"
"Dave Harrison"
"Dave Harrison <dave"
"Dave Hastings"
"Dave Hawkes"
"Dave Jakeman"
"Dave Peterson"
"Dave Peticolas"
"David"
"David A. Barrett"
"David Abrahams"
"David Abrahams <dave"
"David Abrahams <david.abrahams"
"David Arnold"
"David Ascher"
"David Ascher <DavidA"
"David Bailey"
"David Beazley"
"David Blaschke"
"David Boddie"
"David Bolen"
"David Borowitz"
"David Christian"
"David Claridge"
"David Cournapeau"
"David DiCato"
"David E. Cross"
"David Eppstein"
"David Foster"
"David G Mills"
"David Gates"
"David Glick"
"David Goodger"
"David Goodger <goodger"
"David Goulet"
"David Gowers"
"David H. Burns"
"David Halter"
"David Harrison"
"David Hastings"
"David Hopwood"
"David Jeske"
"David Kendal"
"David Kreuter"
"David L. Kashtan"
"David LeBlanc"
"David LeBlanc <whisper"
"David Lyon"
"David M. Beazley"
"David M. Wilson"
"David MacIver"
"David MacQuigg"
"David Malcolm"
"David Mertz"
"David Moss"
"David P. Riedel"
"David Pokorny"
"David Ripton"
"David Robinow"
"David Russell"
"David Scherer"
"David Stanek"
"David Townshend"
"David Turner"
"David Wilson"
"David Wolever"
"david.lyon"
"Davide Alberani"
"Davide Tacchella"
"dbpokorny"
"Dean N. Williams"
"Debian Bug Tracking System"
"decker"
"Demian Brecht"
"Demur Rumed"
"Denis Kolodin"
"denis.spir"
"Dennis Allison"
"Dennis Benzinger "
"Dennis Brakhane"
"Dennis Heuer"
"Dennis Kaarsemaker"
"Derek Shockey"
"desnacked"
"Dethe Elza"
"Detlef Lannert"
"dev"
"Devin"
"Devin Cook"
"Devin Jeanpierre"
"Devon Stephenson"
"Devyn Collier Johnson"
"Dheeraj Goswami"
"Diego Jacobi"
"Diego Mascialino"
"Dieter Maurer"
"Dietmar Schwertberger"
"Diez B. Roggisch"
"Dillon Collins"
"Dima Dorfman"
"Dima Tisnek"
"Dimitrios Apostolou"
"Dimitrios Pritsos"
"Dimitris Garanatsios"
"Dino Viehland"
"Dinu Gherman"
"Dirk Brenckmann"
"Dirk Jendroska"
"Dirk Rothe"
"Dirkjan Ochtman"
"Dj Gilcrease"
"Djoume Salvetti"
"Dmitriy Tochansky"
"Dmitry Dvoinikov"
"Dmitry Kazakov"
"Dmitry Malinovsky"
"Dmitry Vasiliev"
"dmitry.antipov"
"DoCoNo"
"Domenico Andreoli"
"Don Johnston"
"Don Spaulding"
"Donald 'Paddy' McCarthy"
"Donald Beaudry"
"Donald Stufft"
"Donn Cave "
"Donn Cave <donn"
"Donovan Baarda"
"dooms"
"Doug Evans"
"Doug Fort"
"Doug Hellmann"
"Doug Hellmann doug.hellmann"
"Doug Holton"
"doug.napoleone"
"Dougal Matthews"
"Douglas La Rocca"
"Douglas Mayle"
"Douglas Napoleone"
"Dr Andrew Perella"
"Dr. Brett Cannon"
"Dr. Newell"
"Dr.-Ing. Ingo D. Rullhusen"
"draconux"
"Draic Kin"
"drekin"
"Drew Perttula"
"DrKJam"
"dsign"
"dstanek"
"duane voth"
"ducasse"
"Duncan Booth"
"Duncan Booth <duncan"
"Duncan Grisby"
"Duncan McGreggor"
"duncf"
"duraivel"
"Durga D"
"dustin"
"Dustin J. Mitchell"
"dw+python-ideas"
"ealiad1220"
"EBATES - Customer Care"
"ebo"
"Echo"
"Ed Kellett"
"Ed Leafe"
"Ed Swierk"
"Edd Barrett"
"Eddy De Greef "
"Eddy De Greef <degreef"
"Eduard Bondarenko"
"Eduardo EdCrypt O. Padoan"
"Eduardo O. Padoan"
"Edward C. Jones"
"Edward K. Ream"
"Edward Lesmes"
"Edward Loper"
"Edward Peschko"
"Eero Nevalainen"
"Egon Smiwa"
"Ehsan Amiri"
"Eike Hein"
"Eike Welk"
"Eirik Mikkelsen"
"Ejaj Hassan"
"elazarg"
"Eldon Ziegler"
"eleven11"
"Eli Bendersky"
"Eli Collins"
"Eli Courtwright"
"Eli Stevens "
"Elias Fotinis"
"eliswilson"
"Elliot Murphy"
"Elvis Pranskevichus"
"Emerson Clarke"
"Emile Anclin"
"Emile van Sebille"
"Ender Wiggin"
"engelbert gruber"
"engelbert.gruber"
"Enric Tejedor"
"Eoghan Murray"
"Erez Sh"
"Erez Sh."
"Eric"
"Eric Albrecht "
"Eric B."
"Eric Eisner"
"Eric Entin"
"Eric Frost"
"Eric Huss"
"Eric Johnson"
"eric jones"
"Eric Kidd"
"Eric Mathew Hopper"
"Eric Nieuwland"
"Eric Noyau"
"Eric Pruitt"
"Eric Raymond"
"Eric S Raymond"
"Eric S. Raymond"
"Eric S. Raymond <esr"
"Eric Smith"
"Eric Snow"
"Eric Sumner"
"Eric Tiedemann"
"Eric V. Smith"
"Eric Wilhelm"
"eric.smith "
"Erich Blume"
"Erick Tryzelaar"
"Erik"
"Erik Bray"
"Erik de Castro Lopo"
"Erik Forsberg"
"Erik Groeneveld"
"Erik Heneryd"
"Erik Johnson <ej"
"esr"
"est"
"Esteban U.C.. Castro"
"eSX"
"et gmail"
"Ethan Furman"
"Etienne Robillard"
"Eugene Toder"
"europractice-bounces"
"Evan Jones"
"Evan Martin"
"Evan Simpson"
"Evgeni Golov"
"Evgeniy Khramtsov"
"Eviatar Bach"
"Ewan Mellor"
"exarkun"
"Eyal Lotem"
"eyal.lotem+pyutils"
"Ezio Melotti"
"f p"
"F van der Meeren"
"Fabiano Sidler"
"Fabien"
"Fabien Schwob"
"Fabien.Bouleau"
"Fabio Zadrozny"
"Facundo Batista"
"Facundo Batista:"
"Fake Name"
"falcon"
"FAN"
"Farshid Lashkari"
"Fazal Majid"
"fdrake01"
"Federico Di Gregorio"
"Federico Reghenzani"
"Felipe Cruz"
"felix"
"Felix Schwarz"
"fermigier"
"Fernando Perez"
"Fetchinson ."
"fiatjaf"
"Filippo Battaglia"
"Finn Bock"
"Firephoenix"
"firstalertnews"
"flaig"
"Florencio Cano Gabarda"
"Florent"
"Florent Guillaume"
"Florent Pillet"
"Florent Xicluna"
"Florian Bruhin"
"Florian Festi"
"Florian Mayer"
"Florian Schulze"
"Florian Weimer"
"Floris Bruynooghe"
"floyd"
"Flying Cougar Burnette"
"foo"
"Forest"
"Forrest Voight"
"fraca7.python"
"Francesco Pallanti"
"francis"
"Francisco Martin Brugue"
"Franck Michea"
"Francois Granger"
"Francois Pinard"
"François Pinard <pinard"
"Frank"
"Frank Bird Buzz Lomax"
"Frank Horowitz"
"Frank Lomax"
"Frank Patz"
"Frank S."
"Frank Sievertsen"
"Frank Synesthetic Polydactalist Lomax"
"Frank Wierzbicki"
"Frank Woodall"
"Franklin? Lee "
"Fred Drake"
"Fred Gansevles"
"Fred L. Drake"
"Fred L. Drake <fdrake"
"Frederic Giacometti"
"Frederic Giacometti <frederic.giacometti"
"Frederick Reeve"
"fredrik"
"Fredrik Johansson"
"Fredrik Lundh"
"Fredrik Lundh <effbot"
"Fredrik Lundh <fredrik"
"free"
"Frnak Sealmbcrd Eggs Lomax"
"From:	Guido van Rossum"
"From:"
"From:?anatoly techtonik "
"From:python-dev"
"frpythoneers-admin"
"Fuzzyman"
"fwierzbicki"
"g.brandl-nospam"
"g.rodola"
"Gabriel AHTUNE"
"Gabriel Becedillas"
"Gabriel Genellina"
"Gabriel Grant"
"Gael Varoquaux"
"gagsl-py2"
"Ganesan Rajagopal"
