% Main labels input file 07 oct 2017. 
% modified added chunk load of more triples - 
% Notes - How this file is structured
% States with more information and therefore more priority are first. Eg, bdfl_accepted pep has more information than pep_accepted. Done because a sentence may capture both and we
% want that label with more information
% Also the file follows the same pattern as how a pep is proposed, reviewed, and accepted or rejected, final/implemented
% This makes file easier to understand, maintain and search
% Start with Triples and doubles are therefore at the end of file

% _ = and , 
% further to this, one underscore means the terms must be adjacent, pep_number to prevents cases pep has very large number - which would still match
% while two underscores mean terms matched but can allow other terms in between
% - = or
% in cases of two verbs in clause - ("PEP 488", "is", "marked as accepted")
% can extend this to include all states in one line, pep is was accepted rejected
% really important for making sure somne terms exist together and after another, especially bdfl pronouncement

% Reason triples right at the end

% Additional states - may be important
previous_version_rejected,previous_version_pep,rejected
% acceptance_deferred acceptance_of_pep deferred
deferred,acceptance_of_pep,deferred
rejected,pep,rejected,formally			$ 	pep 276 is now formally rejected
rejected,pep,is_rejected				$   this pep is therefore rejected 
rejected,pep,was_rejected				$ 	A similar PEP for Python 3000, PEP 3103 [2], was already rejected,'
rejected,pep,was,rejected				$   PEP 382 was essentially rejected. 
rejected,pep,has_been_rejected			$   it has been rejected -LRB- as with all peps that have been pronounced upon , read the pep for the reasons why -RRB- , but the pep 's authors will nice enough to go ahead and finish the code for anyone who might want to use it anyway .'		
rejected,it,was,rejected
rejected,it,rejected,now
rejected,i,reject,it					$   I therefore reject it.
rejected,i,reject,pep
rejected,i,rejecting,pep
rejected,i,rejected,pep
rejected,i,declare,rejected
rejected,pep,moved,rejected				$    in light of the `` parade of peps '' message , i also have asked the pep administrator to move pep 276 to the withdrawn/rejected group .'
rejected,guido,rejected,pep				$    as a result , guido rejected the entire pep .
rejected,pep,rejected,pep
% add all accepted type triples here
rejected,mark,rejected,pep
rejected,pep_rejection,is,final
rejected,pep,is|was,rejcted

withdrawn,pep,withdrawn,bdfl
superseded,pep,rejected,favor_of_pep
superseded,it,superseded,pep

final,pep,final,pep


withdrawn,pep,withdraw,pep
public_poll_decided,poll,conducted,will
quick_consensus,quick,reached,consensus

% PEP,AUTHOR,ACTIONS,IN,ADDITION,TO,PROPOSAL
requests_feedback,i,know,ideas
updated,i,checked,changes
updated,i,updated,pep
updated,i,'ve,updated_pep
rejected_by_author,pep,rejected,author
rejected,author,rejected,proposals

% polls,and,votes
% poll
call_for_poll,i,would__like__run,poll		$	I would like to run an informal poll about it. Please answer with +1/+0/-0/-1 for each proposal:
call_for_poll,i,would,run__poll			$	I would like to run an informal poll about it. Please answer with +1/+0/-0/-1 for each proposal:
call_for_poll,i,propose,poll
call_for_poll,i,have,poll				$	I have a poll going on G+ to see what people think of the various proposed file name formats at. Feel free to vote if you have an opinion.'
call_for_poll,i,run,poll
call_for_poll,poll,please,vote
call_for_poll,it,s,poll					$	But yes, its a poll right now on the argparse website and if you feel strongly about it, please add your vote there (rather than here).'
call_for_poll,it,please,vote
poll,poll,there_was
poll,poll,there_is						$	There is a Poll running on the front of the PyPI page - you have to log in to see it/vote.
poll,poll,linked,wiki
% call informal poll
call_informal_poll,i,like,run_informal_poll
poll_result_no_support,quick_poll,shows,proposal__no__popular__support

% TRY
% pollute,pollutes,requires,effort

% poll,results
people_preferred_pep_format,people,preferred,formatting__proposed__pep

% ,:,("Thedivision,operator",,"came,out",,"first,in,a,poll"),-,subject,and,object,changed,places,so,that,it,matches,in,code,the,way,code,is,setup
informal_poll,informal_poll,taken
informal_poll,informal_poll,was_taken
informal_poll_results_clear_preferred_format,poll_results,clear,preferred_format
poll_result,poll,indicated,no_proposal_majority
poll_result,poll,came
poll_result,poll,results,clear
poll_closed,poll,closed,now
poll_closed,polls,closed,now
poll_closed,poll,closed

% vote
inviting_votes,you,can_vote						$	You can vote +1, 0 or -1.
inviting_votes,you,vote
inviting_votes,feel,free,vote					$	Feel free to vote if you have an opinion
inviting_votes,you,indicate,vote
inviting_votes,you,please,vote
inviting_votes,you,can_please,indicate_vote		$	So can you please indicate your vote for or against incorporating PEP 391 into Python
inviting_votes,please,vote,vote
inviting_votes,vote,on,pep
inviting_votes,answer,with,+1
inviting_votes,you,email,votes
inviting_votes,you,can,vote
inviting_votes,dont_forget,vote						$	please answer with +1 / +0 / -0 / -1 for each proposal : - ` p -LSB- q -RSB- ` joins path q to path p - ` p + q ` joins path q to path p - ` p / q ` joins path q to path p - ` p.join -LRB- q -RRB- ` joins path q to path p -LRB- you can include a rationale if you want , but do n't forget to vote :--RRB- -RRB- thank you antoine .'
inviting_votes,you,please,indicate,your_vote		$	So can you please indicate your vote for or against incorporating PEP 391 into Python?
% the,following,were,call_for_vote,before-,presumably,for,official,votes
inviting_votes,you,forget,vote
inviting_votes,vote,run,stages
inviting_votes,i,plan,run_vote
inviting_votes,please,vote
call_informal_vote,id,like,informal_vote 					$	Id like to have an informal vote?
approval_to_vote,you,have,approval__hold__vote				$	You have my approval to hold a vote.


% voting,related
voting_method,preference,voting,method
voting_method,anybody,have,preference
voting_method,anybody,have,preference,we,use,voting_method
vote,vote,was_held
vote,vote,held
vote_summary,summary,of,votes								$	SUMMARY OF VOTES The PEP 308 vote is summarized at:
vote_summary,vote,is,summarized								$	SUMMARY OF VOTES The PEP 308 vote is summarized at:
voting_method_preference,anybody,have,voting_method
voting_method_preference,i,support,majority_rules
voting_method_preference,here,is,condorcet_method

% results
informal_poll_results,informal,poll,results
vote_result,ballot,result,result
vote_result,vote,result,vote
vote_result,results,disclosed
vote_result,vote_results,disclosed
vote_result_no_change,vote,resulted,do_n't_change
vote_result_no_change,vote,resulted,don't_change

vote_showed,vote,showed							$	the pep 308 vote showed that at least 84 % of the python users wanted a the pep 308 vote showed that at least 84 % of the python users wanted a ternary .'
vote_showed,pep_vote,showed						$	the pep 308 vote showed that at least 84 % of the python users wanted a the pep 308 vote showed that at least 84 % of the python users wanted a ternary .'
vote_showed,pep_vote,wanted						$	the pep 308 vote showed that at least 84 % of the python users wanted a the pep 308 vote showed that at least 84 % of the python users wanted a ternary .'

majority_said_no_change,majority,said,no_change
vote_users_wanted,pep_vote,showed,users_wanted
vote_summary,pep_vote,summarized,at


% alternate,votes
advisory_poll,advisory,poll,pep
alternate_vote,alternate,vote,pep
alternate_vote_results,alternate,vote,results
complimentary_vote,complimentary,vote,pep
complimentary_vote_results,complimentary,vote,results

discussion_voting_scheme,which,election,method
% informal_vote,informal,vote,vote
unofficial_vote,informal,vote,vote
unofficial_vote,i,decided,to_organize_unofficial_vote
unofficial_vote,i,decided,unofficial_vote
complementary_unofficial_vote_results,results,are,complementary_unofficial_vote
complementary_vote,complementary_vote,uses,different_type_ballot
official_complementary_confirm,condorcet_results_official_vote,confirm,complementary_vote

% consensus and no consensus reason removed


% dont,need,below,label
% not_accepted_yet,pep,is_n't_approved,yet


% BDFL
bdfl_proposes,bdfl,propose,pep
bdfl_proposes,bdfl,proposed,pep
bdfl_withdraws,bdfl,withdraw,pep

bdfl_pronouncement,guido,agreed,pep
bdfl_pronouncement,guido,agreed
bdfl_pronouncement,issue,resolved,bdfl_best_judgment_call
bdfl_pronouncement,issue,resolved,bdfl_call
bdfl_pronouncement,bdfl,has_pronounced

bdfl_pronouncement_accepted,bdfl,accept,pep						
bdfl_pronouncement_accepted,bdfl,accepted,pep
bdfl_pronouncement_accepted,guido,has,acceptance
bdfl_pronouncement_accepted,pep,accepted,bdfl						$	This PEP was accepted by the BDFL on November 22.
bdfl_pronouncement_accepted,bdfl,pronouncement,accept
bdfl_pronouncement_accepted_pep,bdfl,pronouncement,accepted
bdfl_pronouncement_accepted_pep,pronouncement,accept,pep
bdfl_pronouncement_accepted,bdfl_pronouncement_pep,accepted
bdfl_pronouncement_accepted,pronouncement_pep,accepted
bdfl_pronouncement_accepted,guido,accept,pep
bdfl_pronouncement_accepted,guido,accepted,pep

bdfl_pronouncement_rejected,guido,agreed,pep_rejected		$	guido agreed , so the pep was rejected
													%	guido agreed again , and this pep too was rejected
bdfl_pronouncement_rejected,guido,reject,pep
bdfl_pronouncement_rejected,guido,rejected,pep
bdfl_pronouncement_rejected,bdfl,reject,pep					$	+ bdfl pronouncement this pep is rejected 
bdfl_pronouncement_rejected,bdfl,rejected,pep
bdfl_pronouncement_rejected,guido,agreed,pep				$   many people , including guido , agreed , and the pep was rejected 
bdfl_pronouncement_rejected,pronouncement,reject,pep
bdfl_pronouncement_rejected,bdfl_pronouncement_pep,rejected
bdfl_pronouncement_rejected,pronouncement_pep,rejected
bdfl_pronouncement_rejected,bdfl,pronouncement,pep_is_rejected
bdfl_pronouncement_rejected,pep,rejected,bdfl_pronouncement	$	pep 245 was rejected by bdfl pronouncement
% PEP 214 and 221 are accepted, as per recent BDFL pronouncements
bdfl_pronouncement_rejected,pep,rejected,bdfl_decree

% bdfl_approval,issues,resolved,bdfl__approval__lack__objections
bdfl_pronouncement_accepted,issues,resolved,bdfl__approval__lack__objections

% bdfl
bdfl_approves_vote,you,approval,vote
bdfl_final_pep,bdfl,final,pep
bdfl_pronouncement_conditionally_accepted,pronouncement,conditionally,pep

% conflicting,bdfl
bdfl_pronouncement,guido,used,poll_not_enough_support

% BDFL Delegate section
bdfl_asked_volunteer,guido,asked,volunteer
% ask_for_bdfl_delegate,*,requested,pep_czar
ask_for_bdfl_delegate,is,if,willing_bdfop

% someone willing bdfl delegate
member_volunteers_bdfl_delegate,anyone,object,myself_pep_czar
member_volunteers_bdfl_delegate,myself,pep_czar,pep
member_volunteers_bdfl_delegate,i,be,pep_czar
member_volunteers_bdfl_delegate,i,volunteering,pep_czar
member_volunteers_bdfl_delegate,i,have,no_problem_appointing_myself_pep_czar

% agree nomination
% appoint_bdfl_delegate,*,is,pep_czar_pep

% pep_czar_appointed,*,is,pep_czar
bdfl_delegate_reviewed,i,reviewed,pep_as_pep_czar
bdfl_delegate_reviewed,i,reviewed,it

% delegate - pep czar same as delegate
bdfl_delegate_accepted_pep,i,accepting,pep_bdfl-delegate
bdfl_delegate_accepted_pep,i,accept,it_bdfop_pep 
bdfl_delegate_accepted_pep,i,accept,pep
bdfl_delegate_accepted_pep,i,am,accept_as_pep_czar
bdfl_delegate_accepted_pep,i,accept,pep_as_pep_czar
bdfl_delegate_accepted_pep,i,accept,it_as_pep_czar
bdfl_delegate_accepted_pep,i,pronounce,pep_accepted_as_pep_czar
co_bdfl_delegate_accepted_pep,co-bdfl-delegates,accepted,pep

% bdfl_took_proposals_to_conference,guido,took,proposals_to_europython

% temp,commented,take,care,later

% do
decision_overwritten,decision,overridden,last_moment	$	I made a conscious decision to do that, and I'm a bit alarmed at this decision being overridden at the last moment with no debate.
decision_overwritten,decision,overridden,no_debate		$   I made a conscious decision to do that, and I'm a bit alarmed at this decision being overridden at the last moment with no debate.
idea_overruled,i,overruled,idea
idea_overruled,i,overruled,due__to__utility__code
% ----

% FINAL,STAGES,-,implemented,,final

implemented,i,make,implementation
implemented,i,make,implementation_with_these_changes
implemented,implementation_for_pep,is_done
implemented,implementation,closed

% final
final,pep,is_marked,final		$	pep 160 marked as final
final,pep,be,final			
final,pep,is,final				$	pep 232 is final 
final,pep,has,status_final		$	pep-0352 has a status of `` final 
final,pep,moved,finished_section 	$	pep 241 is marked final and moved to the finished section 
%	pep 217 final - code this as double

% DOUBLES
% standard,states
% this,creates,a,lot,of,false,positives
draft,pep,draft
open,pep,open
active,pep,active
pending,pep,pending
closed,pep,closed
final,pep,final
% accepted,pep,accepted -- already coded in pep accepted section
deferred,pep,deferred
replaced,pep,replaced
rejected,pep,rejected
postponed,pep,postponed
incomplete,pep,incomplete
superseded,pep,superseded

% more,states,I,added
% The,bdfl,pronouncement,is,commented,is,it,return,too,many,false,positives
% bdfl_pronouncement,bdfl,pronouncement

% submitted,pep,submitted
updated,pep,revise
withdrawn,pep,withdraw
withdrawn,pep,withdrawn
withdrawn,pep,withdrawn,pep
draft,posted,rough_draft_pep


% IGNORE,TRIPLES,-,MAYBE,NOT,NEEDED

% SUB,PEP,-,PARTS,OF,PEP
% form,syntax,scheme,patch,-dont include these
% ignore_propose_syntax,i,propose,syntax
% ignore_syntax_proposed,syntax,proposed
% ignore_syntax_accepted,syntax,accepted
% ignore_discussion_came_down_to_syntaxdiscussion,came_down,syntax
% ignore_form_rejected,form,rejected,pep
% ignore_form_rejected,forms,rejected,bdfl
% ignore_form_rejected,bdfl,rejected,form
% ignore_idea_rejected,idea,rejected,pep
% ignore_scheme_rejected,scheme,rejected,explicitly
% ignore_scheme_rejected,scheme,rejected
% ignore_review,pep,was,ready_for_review

% ignore_draft_patch,first_draft_patch,contributed,by

% bug_opened,bug_opened
% ignore_issue_closed,issue_closed
% ignore_issues_closed,issues_closed


% REASONS,-,also,another,file,for,reasons
% sometimes,reasons,exist,on,its,own,in,a,message,completely,seprate,than,the,state,therefore,these,are,needed,to,be,coded,here

%reasons for acceptance or rejection
concerns_addressed,pep,addressed,key_concerns
concerns_addressed,pep,addressed,concerns
concerns_addressed,*,addressed,comments

% reasons for acceptance
% Propositions,,,,,:,("No,negative,feedback",,"was,received",,"on,generator,comprehensions")
positive_feedback,no_negative_feedback,received
positive_feedback,response,was,positive
positive_feedback,pep,got,positive_feedback
positive_feedback_again,pep,got,positive_feedback_again
positive_feedback,idea,got,positive_responses
positive_feedback,he,received,positive_responses
positive_feedback,i,had,positive_responses
positive_feedback,response,has_been,positive
positive_feedback,this,is,positive_response
positive_feedback,pep,received,favourably
positive_feedback,i,received,favourable_comments

no_objections,no_objections,were_raised
no_objections,no_objections,raised
no_objections,issues,resolved,lack_objections
no_objections,nobody,has_objected

uncontroversial,ideas,seem,uncontroversial

acceptance_stalled,acceptance,stalled

% reasons for rejection
lack_of_majority,rejected,lack,majority
lack_of_majority,no_options,get,supermajority

no_support,little_interest,seemed,community
no_one_spoke_for,no-one,spoke,for_it
no_one_spoke_for,no-one,spoke,rejected
no_support,several_people,spoke_up,against_including_guido
no_support,several_people,spoke_up,against_it

% FINAL,DECISION,MECHANISMS
% ,consensus,,rough,consensus,,no,consensus,,bdfl,,bdfl,pronouncement,(influential,individual),,vocal,minority,

hope_rough_consensus,i,hope,rough_consensus
rough_consensus,rough,consensus
rough_consensus,this,seems,rough_consensus
rough_consensus,there,seems,rough_consensus
