PEP 8 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 8 | null | support | There was no opposition to this proposal , and some support . | As an aside to this patch , Martin suggested that the build number should be dropped , as it stopped working on Windows some time ago and no longer provides any useful information . | . .
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 0 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 0 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 0 | proposal | support | This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms . | Due to the many platform and library inconsistencies in handling IEEE special values , it is impossible to consistently set or detect IEEE 754 floating point values in normal Python code without resorting to directly manipulating bit patterns . | API Definition  
PEP 0 | proposal | support | This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms . | Due to the many platform and library inconsistencies in handling IEEE special values , it is impossible to consistently set or detect IEEE 754 floating point values in normal Python code without resorting to directly manipulating bit patterns . | API Definition  
PEP 0 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 0 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 0 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 0 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 0 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 0 | null | discussion | much discussion on the python dev list , the PEP has been resurrected ! | After , ! | its present form .
PEP 0 | null | discussion | much discussion on the python dev list , the PEP has been resurrected ! | After , ! | its present form .
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
PEP 0 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected because the need for it has been largely fulfilled by Py2 .4 's sorted builtin function sorted d.iteritems , key itemgetter 1 , reverse True LSB b ' , 23 , 'd ' , 17 , c ' , 5 , a ' , 2 , e ' , 1 RSB or for just the keys sorted d , key d . | txt , v retrieving revision 1.1 retrieving revision 1.2 diff u d r1 .1 r1 .2 pep 0265.txt 14 Aug 2001 23 07 17 0000 1.1 pep 0265.txt 17 Jun 2005 04 30 41 0000 1.2 2,7 2,7 Title Sorting Dictionaries by Value Version Revision Author g2 at iowegian.com Grant Griffin Status Draft Status Rejected Type Standards Track Created 8 Aug 2001 Python Version 2.2 17,6 17,25 both difficult for beginners to understand and cumbersome for all to implement . | 
