PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 8| rejected | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 8| rejected | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 8| rejected_by_author | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 8| rejected | again need good editor support for English to name translation . | so I reject pep 8 because I have no voice safe alternative | support | again need good editor support for English to name translation .
PEP 11| proposal | Under my recent PEP change , Windows 2000 does not need to be supported anymore since 13.07.2010 , when Microsoft 's extended support expired . | So I propose to just remove the claim from the PEP that 3.3 would still be supported , and not go through any notification period . | support | Under my recent PEP change , Windows 2000 does not need to be supported anymore since 13.07.2010 , when Microsoft 's extended support expired .
PEP 11| proposal | The growing amount of these fragments poses the risk of unmaintainability without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported platforms . | To reduce this risk , this PEP proposes a procedure to remove code for platforms with no Python users . | support | The growing amount of these fragments poses the risk of unmaintainability without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported platforms .
PEP 11| proposal | The growing amount of these fragments poses the risk of unmaintainability without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported change to the CPython source code will work on all supported platforms . | To reduce this risk , this PEP proposes a procedure to remove code for platforms with no Python users . | support | The growing amount of these fragments poses the risk of unmaintainability without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported change to the CPython source code will work on all supported platforms .
PEP 101| proposal | In discussions , people often consider short lived '' as shorter than five years '' . | So the PEP proposes to produce security releases for five years after the initial release this would mean that we are willing to make security releases for 2.3 until July 2008 and 2.4 until November 2009 . | discussion | In discussions , people often consider short lived '' as shorter than five years '' .
PEP 215| proposal | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python . | Proposal This PEP proposes that the new syntax value ! | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .
PEP 234| decided_bdfl_consensus | There is still discussion about whether 334,403 and found that the latter is only about 7 faster . | Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | discussion | There is still discussion about whether 334,403 and found that the latter is only about 7 faster .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
