PEP 1 | accepted| discussion | need not be completed before the PEP is accepted .|Modified Files : pep-0001.txt Log Message : Fleshed out the bulk of the guidelines , after internal discussion among the PEP authors and the BDFL .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
PEP 8 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 9 | proposal| debate | Rewritten using reStructuredText , this PEP could look like this Abstract This PEP proposes adding frungible doodads to the core .|are ideas which + require more thought and debate ; they are potential to-do 's .
PEP 9 | accepted| discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .|However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .
PEP 9 | accepted| discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .|However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .
PEP 9 | final| discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .|However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .
PEP 201 | proposal| support | This PEP proposes a standard way of performing such iterations by introducing a new builtin function called zip ' .|of the feature and outlines changes necessary to support the !
PEP 201 | proposal| support | PEP proposes a standard way of performing such iterations by !|of the feature and outlines changes necessary to support the !
PEP 201 | proposal| support | This PEP proposes a standard way of performing such iterations by introducing a new builtin function called zip ' .|of the feature and outlines changes necessary to support the !
PEP 201 | proposal| support | PEP proposes a standard way of performing such iterations by !|of the feature and outlines changes necessary to support the !
PEP 1 | proposal| discussion | Full text of the draft PEP is pasted below , and also available on Bitbucket LSB 6 RSB .|Given all this -LRB- mostly positive -RRB- prior discussion , we may be at a point where further discussion should happen on python-dev rather than python-ideas .
PEP 1 | proposal| support | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary .|This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 1 | proposal| discussion | Full text of the draft PEP is pasted below , and also available on Bitbucket LSB 6 RSB .|Given all this -LRB- mostly positive -RRB- prior discussion , we may be at a point where further discussion should happen on python-dev rather than python-ideas .
PEP 1 | proposal| support | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary .|This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP null | | discussion | |However I think it 's not wrong first to figure out how a good Path-module should look like and then start implementing and continue discussion .
PEP 1 | proposal| discussion | Full text of the draft PEP is pasted below , and also available on Bitbucket LSB 6 RSB .|Given all this -LRB- mostly positive -RRB- prior discussion , we may be at a point where further discussion should happen on python-dev rather than python-ideas .
PEP 1 | proposal| support | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary .|This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 1 | proposal| discussion | Full text of the draft PEP is pasted below , and also available on Bitbucket LSB 6 RSB .|Given all this -LRB- mostly positive -RRB- prior discussion , we may be at a point where further discussion should happen on python-dev rather than python-ideas .
PEP 1 | proposal| support | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary .|This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP null | | discussion | |However I think it 's not wrong first to figure out how a good Path-module should look like and then start implementing and continue discussion .
PEP 8 | rejected| support | The author rejected that proposal to keep the current PEP focused on ameliorating existing asymmetries rather than adding new behavior , but is not opposed to the notion in principle assuming enums are used instead of strings .|Concerns have been raised -LSB- #isdoor -RSB- _ about platform-specific stat flags -LRB- such as S_ISDOOR on Solaris -RRB- that Python does not currently support , and which could be added as part of this proposal .
PEP 8 | rejected_by_author| support | The author rejected that proposal to keep the current PEP focused on ameliorating existing asymmetries rather than adding new behavior , but is not opposed to the notion in principle assuming enums are used instead of strings .|Concerns have been raised -LSB- #isdoor -RSB- _ about platform-specific stat flags -LRB- such as S_ISDOOR on Solaris -RRB- that Python does not currently support , and which could be added as part of this proposal .
PEP 8 | rejected| support | The author has rejected such proposals , yet again in order to keep the PEP focused .|Concerns have been raised -LSB- #isdoor -RSB- _ about platform-specific stat flags -LRB- such as S_ISDOOR on Solaris -RRB- that Python does not currently support , and which could be added as part of this proposal .
PEP 8 | rejected| support | The author has rejected such proposals , yet again in order to keep the PEP focused .|Concerns have been raised -LSB- #isdoor -RSB- _ about platform-specific stat flags -LRB- such as S_ISDOOR on Solaris -RRB- that Python does not currently support , and which could be added as part of this proposal .
PEP 8 | rejected_by_author| support | The author has rejected such proposals , yet again in order to keep the PEP focused .|Concerns have been raised -LSB- #isdoor -RSB- _ about platform-specific stat flags -LRB- such as S_ISDOOR on Solaris -RRB- that Python does not currently support , and which could be added as part of this proposal .
PEP 1 | proposal| discussion | Full text of the draft PEP is pasted below , and also available on Bitbucket LSB 6 RSB .|Given all this -LRB- mostly positive -RRB- prior discussion , we may be at a point where further discussion should happen on python-dev rather than python-ideas .
PEP 1 | proposal| support | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary .|This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP null | | discussion | |However I think it 's not wrong first to figure out how a good Path-module should look like and then start implementing and continue discussion .
PEP 9 | proposal| debate | Rewritten using reStructuredText , this PEP could look like this Abstract This PEP proposes adding frungible doodads to the core .|are ideas which + require more thought and debate ; they are potential to-do 's .
PEP 9 | accepted| discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .|However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .
PEP 9 | accepted| discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .|However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .
PEP 9 | final| discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .|However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final .
PEP 0 | proposal| support | This PEP proposes that the task of registering python applications becomes much simpler with the addition of an application section specifically oriented to assist developers get their applications registered on the user desktop .|Traditionally , setup.py has n't provided ready support for the installation of applications .
PEP 0 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .
PEP 0 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|It is part of folklore , and most 3rd party extensions support it because they follow examples that support it .
PEP 0 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|Also , any type that uses Py_FindMethod -LRB- -RRB- and/or PyMember_Get -LRB- -RRB- in its tp_getattr handler supports it , because these two functions special-case the attribute names __ methods __ and __ members __ , respectively .
PEP 0 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .
PEP 0 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports ; this in turn is useful for documentation processors .
PEP 0 | proposal| support | This PEP proposes a new implementation of global module namespaces !|Python 's HTTP support .
PEP 0 | proposal| support | Introduction This PEP proposes a new implementation of attribute access for module objects that optimizes access to module variables known at compile time .|Python 's HTTP support .
PEP 0 | accepted| support | Modified Files pep 0000.txt Log Message PEP 279 is renamed to The enumerate built in function '' since the old title did n't reflect its accepted proposals .|SA 279 Enhanced Generators Hettinger S 280 Optimizing access to globals van Rossum S 281 Loop Counter Iteration with range and xrange Hetland -- 257,261 -- S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen !
PEP 0 | rejected| support | Modified Files pep 0000.txt Log Message PEP 276 is now formally rejected .|S 276 Simple Iterator for ints Althoff S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen -- 251,255 -- S 274 Dict Comprehensions Warsaw S 275 Switching on Multiple Values Lemburg !
PEP 0 | rejected| support | Modified Files pep 0000.txt Log Message PEP 276 is now formally rejected .|SR 276 Simple Iterator for ints Althoff S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen
PEP 0 | rejected| support | Modified Files pep 0000.txt Log Message PEP 276 is now formally rejected .|S 276 Simple Iterator for ints Althoff S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen -- 251,255 -- S 274 Dict Comprehensions Warsaw S 275 Switching on Multiple Values Lemburg !
PEP 0 | rejected| support | Modified Files pep 0000.txt Log Message PEP 276 is now formally rejected .|SR 276 Simple Iterator for ints Althoff S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen
PEP 0 | rejected| support | Modified Files pep 0000.txt Log Message PEP 276 is now formally rejected .|S 276 Simple Iterator for ints Althoff S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen -- 251,255 -- S 274 Dict Comprehensions Warsaw S 275 Switching on Multiple Values Lemburg !
PEP 0 | rejected| support | Modified Files pep 0000.txt Log Message PEP 276 is now formally rejected .|SR 276 Simple Iterator for ints Althoff S 277 Unicode file name support for Windows NT Hodgson S 278 Universal Newline Support Jansen
PEP 0 | proposal| support | This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms .|This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms .
PEP 0 | proposal| support | This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms .|This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms .
PEP 0 | vote| discussion | Following the discussion , a vote was held .|Following the discussion , a vote was held .
PEP 0 | vote| discussion | Following the discussion , a vote was held .|Status : Rejected Type : Standards Track Content-Type : text/plain *************** *** 31,34 **** -- 31,41 -- discussion , and a discussion of short-circuit behavior .
PEP 0 | vote| discussion | Following the discussion , a vote was held .|+ Following the discussion , a vote was held .
PEP 0 | vote| support | Following the discussion , a vote was held .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | vote| majority | Following the discussion , a vote was held .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | vote| majority | Following the discussion , a vote was held .|Accordingly , the PEP was + rejected due to the lack of an overwhelming majority for change .
PEP 0 | vote| discussion | Following the discussion , a vote was held .|Following the discussion , a vote was held .
PEP 0 | vote| discussion | Following the discussion , a vote was held .|Status : Rejected Type : Standards Track Content-Type : text/plain *************** *** 31,34 **** -- 31,41 -- discussion , and a discussion of short-circuit behavior .
PEP 0 | vote| discussion | Following the discussion , a vote was held .|+ Following the discussion , a vote was held .
PEP 0 | vote| support | Following the discussion , a vote was held .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | vote| majority | Following the discussion , a vote was held .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | vote| majority | Following the discussion , a vote was held .|Accordingly , the PEP was + rejected due to the lack of an overwhelming majority for change .
PEP 0 | vote_after_discussion| discussion | Following the discussion , a vote was held .|Following the discussion , a vote was held .
PEP 0 | vote_after_discussion| discussion | Following the discussion , a vote was held .|Status : Rejected Type : Standards Track Content-Type : text/plain *************** *** 31,34 **** -- 31,41 -- discussion , and a discussion of short-circuit behavior .
PEP 0 | vote_after_discussion| discussion | Following the discussion , a vote was held .|+ Following the discussion , a vote was held .
PEP 0 | vote_after_discussion| support | Following the discussion , a vote was held .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | vote_after_discussion| majority | Following the discussion , a vote was held .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | vote_after_discussion| majority | Following the discussion , a vote was held .|Accordingly , the PEP was + rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected| discussion | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|Status : Rejected Type : Standards Track Content-Type : text/plain *************** *** 31,34 **** -- 31,41 -- discussion , and a discussion of short-circuit behavior .
PEP 0 | rejected| discussion | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|+ Following the discussion , a vote was held .
PEP 0 | rejected| support | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|Accordingly , the PEP was + rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected| discussion | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|Status : Rejected Type : Standards Track Content-Type : text/plain *************** *** 31,34 **** -- 31,41 -- discussion , and a discussion of short-circuit behavior .
PEP 0 | rejected| discussion | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|+ Following the discussion , a vote was held .
PEP 0 | rejected| support | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|While there was an overall + interest in having some form of if-then-else expressions , no one + format was able to draw majority support .
PEP 0 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .|Accordingly , the PEP was + rejected due to the lack of an overwhelming majority for change .
PEP 0 | proposal| support | This PEP proposes adding a family of predefined parsing function for several commonly used date and time formats , and a facility for generic parsing .|There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types .
PEP 0 | bdfl_pronouncement| discussion | Armin and Guido have already agreed on how to correct the instructions .|Whether or not this verification procedure is translated into C , included with the PVM or enforced in any way is left for future discussion .
PEP 0 | bdfl_pronouncement_rejected| support | BDFL Pronouncement This PEP is rejected .|A vocal minority of users has also requested + support for lower-cased numerals for use in -LRB- i -RRB- powerpoint slides , + -LRB- ii -RRB- academic work , and -LRB- iii -RRB- Perl documentation .
PEP 0 | bdfl_pronouncement_rejected| majority | BDFL Pronouncement This PEP is rejected .|While the majority of Python users deemed this + to be a nice-to-have feature , the community was unable to reach a + concensus on whether nine should be represented as IX , the modern + form , or VIIII , the classic form .
PEP 0 | bdfl_pronouncement_rejected| support | BDFL Pronouncement This PEP is rejected .|A vocal minority of users has also requested + support for lower-cased numerals for use in -LRB- i -RRB- powerpoint slides , + -LRB- ii -RRB- academic work , and -LRB- iii -RRB- Perl documentation .
PEP 0 | bdfl_pronouncement_rejected| majority | BDFL Pronouncement This PEP is rejected .|While the majority of Python users deemed this + to be a nice-to-have feature , the community was unable to reach a + concensus on whether nine should be represented as IX , the modern + form , or VIIII , the classic form .
PEP 0 | bdfl_pronouncement_rejected| support | BDFL Pronouncement This PEP is rejected .|A vocal minority of users has also requested + support for lower-cased numerals for use in -LRB- i -RRB- powerpoint slides , + -LRB- ii -RRB- academic work , and -LRB- iii -RRB- Perl documentation .
PEP 0 | bdfl_pronouncement_rejected| majority | BDFL Pronouncement This PEP is rejected .|While the majority of Python users deemed this + to be a nice-to-have feature , the community was unable to reach a + concensus on whether nine should be represented as IX , the modern + form , or VIIII , the classic form .
PEP 0 | bdfl_pronouncement_rejected| support | BDFL Pronouncement This PEP is rejected .|A vocal minority of users has also requested + support for lower-cased numerals for use in -LRB- i -RRB- powerpoint slides , + -LRB- ii -RRB- academic work , and -LRB- iii -RRB- Perl documentation .
PEP 0 | bdfl_pronouncement_rejected| majority | BDFL Pronouncement This PEP is rejected .|While the majority of Python users deemed this + to be a nice-to-have feature , the community was unable to reach a + concensus on whether nine should be represented as IX , the modern + form , or VIIII , the classic form .
PEP 0 | rejected| support | BDFL Pronouncement This PEP is rejected .|A vocal minority of users has also requested + support for lower-cased numerals for use in -LRB- i -RRB- powerpoint slides , + -LRB- ii -RRB- academic work , and -LRB- iii -RRB- Perl documentation .
PEP 0 | rejected| majority | BDFL Pronouncement This PEP is rejected .|While the majority of Python users deemed this + to be a nice-to-have feature , the community was unable to reach a + concensus on whether nine should be represented as IX , the modern + form , or VIIII , the classic form .
PEP 0 | rejected| support | BDFL Pronouncement This PEP is rejected .|A vocal minority of users has also requested + support for lower-cased numerals for use in -LRB- i -RRB- powerpoint slides , + -LRB- ii -RRB- academic work , and -LRB- iii -RRB- Perl documentation .
PEP 0 | rejected| majority | BDFL Pronouncement This PEP is rejected .|While the majority of Python users deemed this + to be a nice-to-have feature , the community was unable to reach a + concensus on whether nine should be represented as IX , the modern + form , or VIIII , the classic form .
