PEP 2 | proposal | support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | from engine sysengine to start with a copy of the process global import state . | 
PEP 289 | bdfl_pronouncement_accepted | feedback | Based on the favorable feedback here and on python dev , Guido has accepted the PEP for Py2 .4 . | Thanks to everyone for the comments on PEP 289 . | Raymond Hettinger
PEP 289 | bdfl_pronouncement_accepted | favorable_feedback | Based on the favorable feedback here and on python dev , Guido has accepted the PEP for Py2 .4 . | Thanks to everyone for the comments on PEP 289 . | Raymond Hettinger
PEP 292 | accepted | discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | accepted | consensus | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 292 | accepted | discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | accepted | consensus | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 292 | accepted | discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | accepted | consensus | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 292 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string . | system call . | 
PEP 292 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string . | system call . | 
PEP 292 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string . | system call . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | accepted | support | So not only is this system not democratic in the obvious sense of majority rules '' if you get more votes than , the PEP is approved , it 's also almost never even about gathering numerical support which is what this would be able to show . | This does n't strictly equate to number of signatures '' , which is how these sorts of petitions are often treated in modern politics it 's more about strength of argument . | 
PEP 308 | accepted | majority | So not only is this system not democratic in the obvious sense of majority rules '' if you get more votes than , the PEP is approved , it 's also almost never even about gathering numerical support which is what this would be able to show . | This does n't strictly equate to number of signatures '' , which is how these sorts of petitions are often treated in modern politics it 's more about strength of argument . | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that 20 sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library 20 | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that 20 sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library 20 | 
PEP 310 | proposal | discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev . | Contributing threads Unification of logging in Python 's Standard Library | 
PEP 311 | proposal | support | This PEP proposes a new API , for platforms built with threading support , to manage the Python thread state . | Specifically , it provides a solution for authors of complex multi threaded extensions , where the current state of Python i.e. , the state of the GIL is unknown . | An implementation strategy is proposed , along with an initial , platform independent implementation .
PEP 318 | proposal | discussion | But it seems reasonable to me to take their meaning to be defined by some combination of 1 the PEP that proposes their introduction , 2 the discussion that preceded and followed the writing of that PEP , and 3 the actual implementations people have produced . | Now , doubtless analytic philosophers could spend hours arguing about what it actually means to make such a statement when decorators are n't currently part of the language spec . | 
PEP 337 | deferred | feedback | FATAL PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | setLevel logging . | 
PEP 338 | updated | feedback | I 've updated the PEP to incorporate the feedback from this thread . | 20070706080601.8C3B.JCARLSON uci.edu | The new version is below , and should show up on the website shortly .
PEP 340 | proposal | discussion | I proposed this at some point during the discussion leading up to the PEP and it was boohed away as too fragile and I agree . | 17015.39213.522060.873605 montanaro.dyndns.org ca471dc20505031013287a2e92 mail.gmail.com 17015.48830.223391.390538 montanaro.dyndns.org ca471dc2050503113127f938b0 mail.gmail.com d58tkb fvp 1 sea.gmane.org | 
PEP 340 | accepted | discussion | After this PEP was originally approved , a subsequent discussion on python dev 4 settled on the term context manager '' for objects which provide enter and exit methods , and context management protocol '' for the protocol itself . | 3 . | 
PEP 342 | accepted | discussion | After this PEP was originally approved , a subsequent discussion on python dev 4 settled on the term context manager '' for objects which provide enter and exit methods , and context management protocol '' for the protocol itself . | 2 . | 
PEP 342 | accepted | discussion | After this PEP was originally approved , a subsequent discussion on python dev 4 settled on the term context manager '' for objects which provide enter and exit methods , and context management protocol '' for the protocol itself . | 3 . | 
PEP 342 | accepted | discussion | After this PEP was originally approved , a subsequent discussion on python dev 4 settled on the term context manager '' for objects which provide enter and exit methods , and context management protocol '' for the protocol itself . | Open Issues 1 . | 
PEP 342 | proposal | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 342 | proposal | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | feedback | I 've updated PEP 345 with this feedback . | 4B3266CF.7030705 v.loewis.de 94bdd2610912231123o6d3236c7j289df78391083ac5 mail.gmail.com 4B3279E9.4010507 v.loewis.de 94bdd2610912231311h44e5563bn98fab09cab3c37f1 mail.gmail.com 4B3324B2.3030708 v.loewis.de 94bdd2610912240132t345b4d8bnc1bc81d5ae82b194 mail.gmail.com 4B334626.6040505 v.loewis.de 94bdd2610912250412m4402a238j741ce6c3bc7ba53d mail.gmail.com 4B353C81.1080702 v.loewis.de | I 've made the range         )  operator the default one , and added more details on how versions works .
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | feedback | I 've updated PEP 345 with this feedback . | 4B3266CF.7030705 v.loewis.de 94bdd2610912231123o6d3236c7j289df78391083ac5 mail.gmail.com 4B3279E9.4010507 v.loewis.de 94bdd2610912231311h44e5563bn98fab09cab3c37f1 mail.gmail.com 4B3324B2.3030708 v.loewis.de 94bdd2610912240132t345b4d8bnc1bc81d5ae82b194 mail.gmail.com 4B334626.6040505 v.loewis.de 94bdd2610912250412m4402a238j741ce6c3bc7ba53d mail.gmail.com 4B353C81.1080702 v.loewis.de | I 've made the range         )  operator the default one , and added more details on how versions works .
PEP 349 | deferred | support | PEP 349 currently deferred , although I do n't recall why discusses some of the issues involved in making code unicode safe , while still supporting non unicode safe applications as clients . | There 's never been a concerted effort to make even the standard library work under U. Maybe that should be a goal for Python 2.6 figure out what tools or changes are needed to make code U safe , add them , and then update the standard library to use them . | 
PEP 363 | updated | discussion | I 've sent an updated version of PEP 363 to the editors , which includes the following summary of the discussion . | wrapping up dynamic attribute ' discussion . | I hope I 've captured the important points , but please let me know if there 's something important I 've left out or misrepresented .
PEP 365 | proposal | support | It 's a runtime the PEP actually merely proposes that a further addition to be made to support bootstrapping , also . | Which , these days , is , well , almost any large Python project , from Chandler to Enthought to Zope . | 
PEP 365 | proposal | support | It 's a runtime the PEP actually merely proposes that a further addition to be made to support bootstrapping , also . | Which , these days , is , well , almost any large Python project , from Chandler to Enthought to Zope . | 
PEP 366 | updated | feedback | I 've updated the PEP to incorporate the feedback from this thread . | 20070706080601.8C3B.JCARLSON uci.edu | The new version is below , and should show up on the website shortly .
PEP 368 | deferred | feedback | PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | txt 3,7 3,7 Version Revision Last Modified Date Author Lino Mastrodomenico l.mastrodomenico at gmail.com Status Draft Status Deferred Type Standards Track Content Type textx rst Created 28 Jun 2007 39,6 39,13 also proposed , together with a mixin class that helps adding support for the protocol to existing image classes . | 
PEP 376 | proposal | support | PEP 376 proposes a stdlib replacement for a portion of this functionality , but the status of whether it 's actually going to support anything other than distutils , pip , and setuptools ' backward compatibility mode is apparently still up for grabs . | Right '' is relative , but right now it is certainly the only way to read a list of installed packages , that 's compatible with both distutils and setuptools based ways of installing packages including of course pip , enstaller , and buildout . | From ben   python at benfinney .
PEP 376 | proposal | support | I propose an extension to PEP 376 to support the development of projects such that | extension to pep 376 develop '' installation . | 
PEP 382 | accepted | support | s nothing we can do now , and when PEP 382 is accepted , support will be added to d2 . | ll close this bug There ? |   title   State of PEP 382 or How does distutils2 handle namespaces ?
PEP 382 | accepted | support | s nothing we can do now , and when PEP 382 is accepted , support will be added to d2 . | ll close this bug There ? |   title   State of PEP 382 or How does distutils2 handle namespaces ?
PEP 382 | accepted | support | s nothing we can do now , and when PEP 382 is accepted , support will be added to d2 . | ll close this bug There ? |   title   State of PEP 382 or How does distutils2 handle namespaces ?
PEP 382 | accepted | support | s nothing we can do now , and when PEP 382 is accepted , support will be added to d2 . | ll close this bug There ? |   title   State of PEP 382 or How does distutils2 handle namespaces ?
PEP 384 | accepted | discussion | Hi , Since discussion has trailed off without any blocking objections , I 'm accepting PEP 384 . | pep 384 accepted . | Martin , you may mark the PEP accepted and proceed with merging the implementation for the beta on Saturday .
PEP 382 | accepted | support | s nothing we can do now , and when PEP 382 is accepted , support will be added to d2 . | ll close this bug There ? |   title   State of PEP 382 or How does distutils2 handle namespaces ?
PEP 382 | accepted | support | s nothing we can do now , and when PEP 382 is accepted , support will be added to d2 . | ll close this bug There ? |   title   State of PEP 382 or How does distutils2 handle namespaces ?
PEP 384 | accepted | discussion | Hi , Since discussion has trailed off without any blocking objections , I 'm accepting PEP 384 . | pep 384 accepted . | Martin , you may mark the PEP accepted and proceed with merging the implementation for the beta on Saturday .
PEP 386 | proposal | discussion | On behalf of the Distutils SIG , I would like to propose PEP 386 for inclusion in the sdtlib , and have a final discussion here on Python dev . | This is the email I will send to python dev , so everyone can review it before it is sent | http www.python.org dev peps pep 0386
PEP 386 | proposal | discussion | On behalf of the Distutils SIG , I would like to propose PEP 386 for inclusion in the sdtlib , and have a final discussion here on Python dev . | Hello , | http www.python.org dev peps pep 0386
PEP 389 | proposal | discussion | Below is a new PEP based on discussions from the stdlib sig , which proposes to add the argparse module to the standard library in Python 2.7 and 3.2 . | pep 389 argparse new command line parsing module . | Looking forward to your feedback !
PEP 389 | updated | feedback | Sorry for the delay , but I 've finally updated PEP 389 , the argparse PEP , based on all the feedback from python dev . | updated pep 389 argparse . | The full PEP is below , but in short , the important changes are  
PEP 397 | updated | discussion | I 've updated PEP 397 Python launcher for Windows '' based on recent discussions and Vinay 's implementation . | new update to pep397 python launcher for windows . | 
PEP 399 | proposal | support | And before anyone asks , I have already run this past the lead devs of PyPy , Jython , and IronPython and they all support what this PEP proposes . | Since this has come up before and this was discussed so much at the summits I have gone ahead and checked this in so that even if this PEP gets rejected there can be a written record as to why . | And with the devs of the other VMs gaining push privileges there should n't be an added developer burden on everyone to make this PEP happen .
PEP 400 | deferred | feedback | PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | txt 3,7 3,7 Version Revision Last Modified Date Author Victor Stinner victor.stinner at gmail.com Status Draft Status Deferred Type Standards Track Content Type textx rst Created 28 May 2011 25,6 25,13 http www.python.org dev peps pep 3116 , and reimplemented in C in Python 2.7 and 3.1 . | 
