PEP 2 | proposal| feedback | This PEP proposes a transitional state for modules inclusion in a special preview package for the duration of a minor release roughly 18 months prior to full acceptance into the standard library .|If the module ends up graduating into the standard library after + spending a minor release in `` __ preview __ `` , its API may be changed according + to accumulated feedback .
PEP 250 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|Also , any type that uses Py_FindMethod -LRB- -RRB- and\/or PyMember_Get -LRB- -RRB- in its tp_getattr handler supports it , because these two functions special-case the attribute names __ methods __ and __ members __ , respectively .
PEP 250 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .
PEP 250 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports ; this in turn is useful for documentation processors .
PEP 251 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .
PEP 251 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|It is part of folklore , and most 3rd party extensions support it because they follow examples that support it .
PEP 251 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|Also , any type that uses Py_FindMethod -LRB- -RRB- and\/or PyMember_Get -LRB- -RRB- in its tp_getattr handler supports it , because these two functions special-case the attribute names __ methods __ and __ members __ , respectively .
PEP 251 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .
PEP 251 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports ; this in turn is useful for documentation processors .
PEP 255 | proposal| discussion | So I propose that Tim and others defending def ' save their remaining breath , and I propose that Paul and others in favor of gen erator ' start diverting their energy towards thinking about how to best teach generators the PEP syntax .|I found one useful comment on the PEP that is n't addressed and isorthogonal to the whole discussion : try\/finally .
PEP 255 | proposal| discussion | So I propose that Tim and others defending def ' save their remaining breath , and I propose that Paul and others in favor of gen erator ' start diverting their energy towards thinking about how to best teach generators the PEP syntax .|I found one useful comment on the PEP that is n't addressed and isorthogonal to the whole discussion : try\/finally .
PEP 255 | proposal| discussion | So I propose that Tim and others defending def ' save their remaining breath , and I propose that Paul and others in favor of gen erator ' start diverting their energy towards thinking about how to best teach generators the PEP syntax .|I found one useful comment on the PEP that is n't addressed and isorthogonal to the whole discussion : try\/finally .
PEP 255 | proposal| discussion | So I propose that Tim and others defending def ' save their remaining breath , and I propose that Paul and others in favor of gen erator ' start diverting their energy towards thinking about how to best teach generators the PEP syntax .|I found one useful comment on the PEP that is n't addressed and isorthogonal to the whole discussion : try\/finally .
PEP 255 | proposal| support | PEP 255 proposes both a mechanism and concrete syntax to support it .|PEP 255 proposes both a mechanism and concrete syntax to support it .
PEP 255 | proposal| support | PEP 255 proposes both a mechanism and concrete syntax to support it .|of course the PEP 255 way will usually be easier to read : that 's theentire point of introducing concrete linguistic support for a newcomputational mechanism .
PEP 255 | proposal| support | PEP 255 proposes both a mechanism and concrete syntax to support it .|PEP 255proposes both a mechanism and concrete syntax to support it .
PEP 255 | proposal| support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .|This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .
PEP 255 | proposal| support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .|The typical idiom for timely release is not supported , a yield statement is not allowed in the try clause of a try-finally statement inside a generator .
PEP 255 | proposal| support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .|This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .
PEP 255 | proposal| support | This PEP proposes that the built in generator type implement a close method and destruction semantics , such that the restriction on yield placement can be lifted , expanding the applicability of generators .|The typical idiom for timely release is not supported , a yield statement is not allowed in the try clause of a try-finally statement inside a generator .
PEP 255 | proposal| support | This PEP proposes that generators should grow such a close method with such semantics that the example could be rewritten as|# Today this is not valid Python : yield is not allowed between # try and finally , and generator type instances support no # close method .
PEP 255 | proposal| support | This PEP proposes a single , consistent pattern for such code .|The extended support for generators introduced in PEP 342 -LRB- 2 -RRB- _ facilitated a natural way of writing generators that cooperativelyyield control to other functions , allowing multitasking withina single OS thread .
PEP 255 | proposal| support | This PEP proposes a single , consistent pattern for such code .|Such multitasking requires a supportingenvironment -LRB- usually in the form of a scheduler -RRB- , and several suchimplementations are in active use .
PEP 255 | proposal| support | There is a reference implementation 2 that supports everything that the PEP proposes to add .|There is a reference implementation 2 that supports everything that the PEP proposes to add .
PEP 255 | proposal| support | There is a reference implementation 2 that supports everything that the PEP proposes to add .|There is a reference implementation -LRB- 2 -RRB- that supports everything that the PEP proposes to add .
PEP 255 | proposal| support | There is a reference implementation 2 that supports everything that the PEP proposes to add .|There is a reference implementation 2 that supports everything that the PEP proposes to add .
PEP 255 | proposal| support | There is a reference implementation 2 that supports everything that the PEP proposes to add .|There is a reference implementation -LRB- 2 -RRB- that supports everything that thePEP proposes to add .
PEP 256 | proposal| consensus | This PEP proposes a Docstring Processing System DPS framework .|It separates out the components -LRB- program and conceptual -RRB- , enabling the resolution of individual issues either through consensus -LRB- one solution -RRB- or through divergence -LRB- many -RRB- .
PEP 256 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP 257 | proposal| consensus | This PEP proposes a Docstring Processing System DPS framework .|It separates out the components -LRB- program and conceptual -RRB- , enabling the resolution of individual issues either through consensus -LRB- one solution -RRB- or through divergence -LRB- many -RRB- .
PEP 258 | proposal| consensus | This PEP proposes a Docstring Processing System DPS framework .|It separates out the components -LRB- program and conceptual -RRB- , enabling the resolution of individual issues either through consensus -LRB- one solution -RRB- or through divergence -LRB- many -RRB- .
PEP 258 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP 263 | proposal| discussion | In the discussion of PEP 263 , I proposed that the external encoding of Python scripts themselves be fixed as UTF 8 , and other encodings would have to be pretranslated by an appropriate codec .|In the discussion of PEP 263 , I proposed that the external encoding of Python scripts themselves be fixed as UTF 8 , and other encodings would have to be pretranslated by an appropriate codec .
PEP 263 | proposal| discussion | In the discussion of PEP 263 , I proposed that the external encoding of Python scripts themselves be fixed as UTF 8 , and other encodings would have to be pretranslated by an appropriate codec .|In the discussion of PEP 263 , I proposed that the external encoding ofPython scripts themselves be fixed as UTF-8 , and other encodings wouldhave to be pretranslated by an appropriate codec .
PEP 269 | proposal| support | Further the PEP propose to use the actual AST format of parser module as output format .|Because of this jython does not offer parser module support .
PEP 269 | proposal| support | Further the PEP propose to use the actual AST format of parser module as output format .|Because of this jython does not offer parser module support .
PEP 273 | proposal| discussion | To give a little back story , PEP 273 proposes allowing modules to be put into a zip file for easy distribution .|In case you ca n't figure it out from the title of all of the splnterthreads , there was an immense discussion about ` PEP 273 ` _ and getting animport mechanism for zipped modules .
PEP 273 | proposal| discussion | To give a little back story , PEP 273 proposes allowing modules to be put into a zip file for easy distribution .|In case you ca n't figure it out from the title of all of the splnterthreads , there was an immense discussion about ` PEP 273 ` _ and gettingan import mechanism for zipped modules .
PEP 273 | proposal| discussion | To give a little back story , PEP 273 proposes allowing modules to be put into a zip file for easy distribution .|= -RRB- Most of the discussion revolvedaround a few central points .
PEP 273 | proposal| discussion | To give a little back story , PEP 273 proposes allowing modules to be put into a zip file for easy distribution .|In case you ca n't figure it out from the title of all of the splnterthreads , there was an immense discussion about ` PEP 273 ` _ and gettingan import mechanism for zipped modules .
PEP 273 | proposal| discussion | To give a little back story , PEP 273 proposes allowing modules to be put into a zip file for easy distribution .|= -RRB- Most of the discussion revolvedaround a few central points .
PEP 274 | proposal| discussion | PEP 274 4 proposes to make integers iterable by implementing iter , simplifying ...|I would also possibly add the discussion of what iter -LRB- - x -RRB- should mean i.e. either counting up from - x to 0 -LRB- upper bound exclusive , matches slicesemantics -RRB- , or counting down from 0 to - x -LRB- upper bound exclusive , useful fortraversing sequences in reverse order -RRB- .
PEP 276 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 276 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 276 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 276 | proposal| debate | Below is a revision not yet submitted of PEP 276 .|Rather than restart the entire debate on PEP 276 , please send mesuggestions for specific changes to the PEP .
PEP 276 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 276 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 285 | proposal| discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .|The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .
PEP 285 | proposal| discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .|The first round of discussion -LRB- on python-dev -RRB- brought up somecontentious issues where people disagreed strongly with particulardetails proposed in the PEP , and I put those contentious issues at thetop of the review list .
PEP 285 | proposal| discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .|If you go to the latest version of the PEP onthe web -LRB- http:\/\/www.python.org\/peps\/pep-0285.html -RRB- you 'll see thatI 've added some other issues that were brought up in the more recentdiscussion .
PEP 285 | proposal| discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .|The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .
PEP 285 | proposal| discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .|The first round of discussion -LRB- on python-dev -RRB- brought up somecontentious issues where people disagreed strongly with particulardetails proposed in the PEP , and I put those contentious issues at thetop of the review list .
PEP 285 | proposal| discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list .|If you go to the latest version of the PEP onthe web -LRB- http:\/\/www.python.org\/peps\/pep-0285.html -RRB- you 'll see thatI 've added some other issues that were brought up in the more recentdiscussion .
PEP 285 | proposal| discussion | The only possible transition path has to use an impure '' bool like the PEP proposes .|And backwards compatibility is a key requirementfor all language changes -LRB- see the division discussion -RRB- .
PEP 287 | proposal| discussion | The PEP proposes to solve a specific problem docstring formats without any discussion of the problem domain or its requirements .|The PEP proposes to solve a specific problem docstring formats without any discussion of the problem domain or its requirements .
PEP 287 | proposal| discussion | The PEP proposes to solve a specific problem docstring formats without any discussion of the problem domain or its requirements .|The PEP proposes to solve a specificproblem -- docstring formats -- without any discussion of the problemdomain or its requirements .
PEP 288 | proposal| support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .|This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .
PEP 288 | proposal| support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .|The typical idiom for timely release is not supported , a yield statement is not allowed in the try clause of a try-finally statement inside a generator .
PEP 288 | proposal| support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .|This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators .
PEP 288 | proposal| support | This PEP proposes that generators should grow such a close method snip|pre-pep : resource-release support for generators .
PEP 288 | proposal| support | This PEP proposes that the built in generator type implement a close method and destruction semantics , such that the restriction on yield placement can be lifted , expanding the applicability of generators .|The typical idiom for timely release is not supported , a yield statement is not allowed in the try clause of a try-finally statement inside a generator .
PEP 288 | proposal| support | This PEP proposes that generators should grow such a close method with such semantics that the example could be rewritten as|# Today this is not valid Python : yield is not allowed between # try and finally , and generator type instances support no # close method .
PEP 288 | proposal| discussion | This PEP proposes a new iterator API that allows values to be passed into an iterator using continue EXPR '' .|The content of this PEP is derived from the original content of PEP 340 , broken off into its own PEP as the new iterator API is pretty much orthogonal from the anonymous block statement discussion .
PEP 288 | proposal| discussion | This PEP proposes a new iterator API that allows values to be passed into an iterator using continue EXPR '' .|The content of this PEP is derived from the original content of PEP 340 , broken off into its own PEP as the new iterator API is pretty much orthogonal from the anonymous block statement discussion .
PEP 288 | proposal| discussion | Motivation and Summary This PEP proposes some enhancements to the API and syntax of generators , to make them usable as simple coroutines .|-- The content of this PEP is derived from the original content of - PEP 340 , broken off into its own PEP as the new iterator API is - pretty much orthogonal from the anonymous block statement - discussion .
PEP 288 | proposal| support | Additionally , this PEP 's sibling , XXX , proposes that the execution order of list comprehensions be made non deterministic to permit future parallel implementations .|Stackless Python in PEP 219\/220 presents a mechanism by which a large number micro threads could be efficiently supported , thus allowing for a realistic manifestation of a deep generator based software pipeline .
PEP 289 | proposal| support | This PEP proposes another idea that will , in some important cases , !|This PEP suggests that some iterator types should support being copied !
PEP 292 | proposal| support | This PEP agrees with the basic motivation of PEP 498 , but proposes to focus both the syntax and the implementation on the il8n use case , drawing on the previous proposals in PEP 292 which added string .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string .|To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 292 | proposal| support | Proposal This PEP proposes that the new syntax value !|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 292 | proposal| support | This PEP also proposes the introduction of three new builtin functions , interpolate , interpolateb and interpolateu , which implement key aspects of the interpolation process , and may be overridden in accordance with the usual mechanisms for shadowing builtin functions .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 292 | proposal| support | This PEP proposes to handle the latter issue by always specifying an explicit interpolator for interpolation operations , and the former by adopting the string .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string .|To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string .|To address that problem -LRB- and a number of other concerns -RRB- , this PEP proposes an-alternative approach to compiler supported interpolation , based on a new `` $ `` - binary operator with a syntactically constrained right hand side , a new - `` __ interpolate __ `` magic method , and a substitution syntax inspired by-that used in `` string .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string .|+ alternative approach to compiler supported interpolation , using `` i `` -LRB- for + `` interpolation '' -RRB- as the new string prefix and a substitution syntax + inspired by that used in `` string .
PEP 292 | proposal| support | Template This PEP proposes to handle the former issue by always specifying an explicit interpolator for interpolation operations , and the latter by adopting the string .|To address that problem -LRB- and a number of other concerns -RRB- , this PEP proposes an-alternative approach to compiler supported interpolation , based on a new `` $ `` - binary operator with a syntactically constrained right hand side , a new - `` __ interpolate __ `` magic method , and a substitution syntax inspired by-that used in `` string .
PEP 292 | proposal| support | Template This PEP proposes to handle the former issue by always specifying an explicit interpolator for interpolation operations , and the latter by adopting the string .|+ alternative approach to compiler supported interpolation , using `` i `` -LRB- for + `` interpolation '' -RRB- as the new string prefix and a substitution syntax + inspired by that used in `` string .
PEP 292 | proposal| support | This PEP proposes to handle the former issue by deferring the actual rendering of the interpolation template to its str method allow the use of other template renderers by passing the template around as an object , and the latter by adopting the string .|To address that problem -LRB- and a number of other concerns -RRB- , this PEP proposes an-alternative approach to compiler supported interpolation , based on a new `` $ `` - binary operator with a syntactically constrained right hand side , a new - `` __ interpolate __ `` magic method , and a substitution syntax inspired by-that used in `` string .
PEP 292 | proposal| support | This PEP proposes to handle the former issue by deferring the actual rendering of the interpolation template to its str method allow the use of other template renderers by passing the template around as an object , and the latter by adopting the string .|+ alternative approach to compiler supported interpolation , using `` i `` -LRB- for + `` interpolation '' -RRB- as the new string prefix and a substitution syntax + inspired by that used in `` string .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string .|To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string .
PEP 302 | proposal| support | This PEP proposes making use of the PEP 302 4 import hooks to allow any module which provides access to its code object to be executed .|txtLog : Update PEP to fully support PEP 302 import semantics
PEP 303 | proposal| discussion | PEP 303 by Thomas Bellman proposes changing divmod so as to allow it to take an arbitrary number of arguments to chain together a bunch of divmod calls .|This thread has started a big discussion on what built-ins are needed , butthat started after January 1 and thus will be covered in the next summary .
PEP 303 | proposal| discussion | PEP 303 by Thomas Bellman proposes changing divmod so as to allow it to take an arbitrary number of arguments to chain together a bunch of divmod calls .|This thread has started a big discussion on what built-ins are needed , but that started after January 1 and thus will be covered in the nextsummary .
PEP 303 | proposal| discussion | PEP 303 by Thomas Bellman proposes changing divmod so as to allow it to take an arbitrary number of arguments to chain together a bunch of divmod calls .|This thread has started a big discussion on what built-ins are needed , but that started after January 1 and thus will be covered in the nextsummary .
PEP 304 | proposal| support | But the scheme this PEP proposes a single session wide location is too coarse grained for what I have in mind .|So I would notsupport this particular PEP without sufficiently largechanges that it might as well become a new PEP .
PEP 304 | proposal| support | This PEP proposes a solution to this problem .|Examplesinclude the symlink-based Debian regimes python-support -LRB- 8 -RRB- _ andpython-central -LRB- 9 -RRB- _ .
PEP 304 | proposal| support | This PEP proposes the addition of an cached attribute to modules , which will always point to the actual pyc file that was read or written .|For alternative Python implementations which do not support ` pyc ` files , the ` __ cached __ ` attribute may point to whatever informationmakes sense .
PEP 308 | proposal| discussion | Given that if then else expressions keep being requested , I hereby put forward a proposal .|Please understand that I do n't have a lot of timeto moderate the discussion ; I 'll just wait for the community todiscuss the proposal and agree on some way to count votes , then countthem .
PEP 308 | proposal| discussion | Given that if then else expressions keep being requested , I hereby put forward a proposal .|Please understand that I do n't have a lot of timeto moderate the discussion ; I 'll just wait for the community todiscuss the proposal and agree on some way to count votes , then countthem .
PEP 308 | proposal| majority | And it was honorable on his part being con PEP to propose postponing the final decision for a year if there was n't a clear '' outcome .|He talked about a `` clear '' majority , and he knows what he means .
PEP 308 | proposal| majority | And it was honorable on his part being con PEP to propose postponing the final decision for a year if there was n't a clear '' outcome .|Aahz interpreted `` clear majority '' as `` supermajority '' but it was justa guess on his part .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .
