PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 409 | superseded | superseded | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror . | The generic PyErr ChainExceptions exc type , exc value , exc tb should be used to chain exceptions with these helper functions . | 
PEP 409 | superseded | superseded | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 | PEPs | 
PEP 415 | superseded | superseded | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror . | The generic PyErr ChainExceptions exc type , exc value , exc tb should be used to chain exceptions with these helper functions . | 
PEP 415 | superseded | superseded | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 | PEPs | 
PEP 415 | superseded | superseded | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror . | The generic PyErr ChainExceptions exc type , exc value , exc tb should be used to chain exceptions with these helper functions . | 
PEP 415 | superseded | superseded | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 | PEPs | 
PEP 524 | superseded | superseded | This idea is the PEP 522 which was superseded by the PEP 524 accepted in Python 3.6 which proposed to make os . | STINNER Victor added the comment | 
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 322 | updated | feedback | Based on your extensive feedback , PEP 322 has been completely revised . | pep 322 reverse iteration revised , please comment . | The response was strongly positive , but almost everyone preferred having a function instead of multiple object methods .
PEP 308 | vote_result | vote result | As long as , as I 've said before , the full results of the everyone 's vote is disclosed at the close of voting this is n't a secret ballot , after all , but people should n't see each other 's votes while the vote is in progress , I do n't see a big problem , so long as everybody agrees on the process . | I do n't think such an circuitous procedure is necessary at all if anything , it is just going to turn off more voters who wo n't think the extra work is worth the effort . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 3103 | poll_result_no_support | support | https www.python.orgdevpepspep 3103 A SwitchCase Statement '' by Guido van Rossum , Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support . | 4602a32c 5109 47dd 95bb b9723738f07f googlegroups.com 55E8E09A.3080309 gmail.com | 
PEP 3103 | poll_result_no_support | no popular support | https www.python.orgdevpepspep 3103 A SwitchCase Statement '' by Guido van Rossum , Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support . | 4602a32c 5109 47dd 95bb b9723738f07f googlegroups.com 55E8E09A.3080309 gmail.com | 
PEP 3103 | poll_result | majority | There the poll indicated no specific proposal had a majority , so for each specific proposal one could say it did n't have popular support , but the majority still prefered to have a conditional expression . | Op 04 09 15 om 02 47 schreef Mark Lawrence Were those polls , like the poll he once did for the condtional expression ? | But at that time Guido used that poll as an indication there was not enough support .
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | proposal | support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | from engine sysengine to start with a copy of the process global import state . | 
PEP 2 | proposal | support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | from engine sysengine to start with a copy of the process global import state . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
